Step	Value
5	8.396903992
6	6.230203629
11	0.442669392
14	0.189821437
15	0.26235801
18	0.1867937
20	0.101624027
24	0.119362228
36	0.08972659
40	0.121395163
42	0.068502061
44	0.108058877
45	0.116471104
47	0.119314075
53	0.06759654
54	0.105427459
55	0.079703495
56	0.109285295
57	0.087682977
65	0.095618211
68	0.085317865
71	0.105126411
72	0.076749407
73	0.059453107
74	0.070422068
79	0.084521249
87	0.080557212
88	0.085999429
94	0.092600673
102	0.087138131
105	0.067494258
106	0.061074786
113	0.058086317
116	0.039760552
118	0.076633409
126	0.054734308
129	0.065449513
130	0.071878947
139	0.097418599
141	0.084123038
142	0.086943723
143	0.090579972
150	0.103063144
155	0.044379119
157	0.073817909
158	0.066924967
162	0.065374702
167	0.04465491
168	0.047840804
171	0.04391025
177	0.043026567
178	0.050868887
180	0.060157698
183	0.052601963
185	0.04535738
186	0.047428079
188	0.056770004
190	0.043446653
191	0.054183237
198	0.038093012
206	0.067978278
207	0.0702613
208	0.055707261
212	0.053563111
222	0.038777009
223	0.049760815
225	0.030597843
229	0.036286473
232	0.037748214
233	0.041512892
234	0.063768893
237	0.041780423
249	0.068026602
255	0.045244079
258	0.032850042
260	0.059141368
261	0.029885618
263	0.036418956
267	0.053984329
271	0.035637107
273	0.032775257
278	0.054580368
292	0.030196026
297	0.041849326
298	0.047992513
302	0.050056819
303	0.083047822
307	0.048556045
308	0.071973056
310	0.049415756
313	0.035154305
318	0.028397568
319	0.021550894
320	0.036721457
325	0.036406297
326	0.031606324
327	0.063639104
330	0.056796253
339	0.042241663
341	0.034723192
347	0.060948256
353	0.037618496
354	0.036729865
360	0.034012888
363	0.034359071
367	0.033683091
371	0.022576036
373	0.031517811
377	0.049898483
378	0.022255475
379	0.027714688
381	0.033698373
386	0.031884901
391	0.027278885
392	0.036597084
393	0.02932379
408	0.039395213
415	0.044730883
421	0.032140382
422	0.041913614
424	0.027335493
426	0.030444646
430	0.028160434
439	0.037515372
441	0.028484594
442	0.02619445
445	0.042698752
451	0.046987325
459	0.047995161
460	0.030157054
463	0.037802614
464	0.035364971
473	0.039558757
474	0.034649432
485	0.038880587
488	0.034628969
489	0.027803645
491	0.024602542
493	0.025668036
507	0.038751964
512	0.021219529
514	0.021885019
517	0.022433069
519	0.031590343
524	0.02647974
525	0.033760767
531	0.052303519
533	0.025569154
534	0.03605235
536	0.020690404
537	0.029717516
540	0.029186256
542	0.022574697
547	0.028749269
548	0.03650954
557	0.028132647
559	0.025096297
563	0.029370205
564	0.020194087
565	0.031858433
569	0.028703097
573	0.019739967
574	0.031841062
577	0.025753908
579	0.041993476
580	0.037501499
581	0.032425165
582	0.036258254
583	0.042756386
584	0.041171677
586	0.03074855
587	0.024795113
592	0.030335881
593	0.028828364
597	0.028033562
600	0.031205241
602	0.024868974
608	0.027317502
610	0.032500975
615	0.030292997
619	0.015965315
620	0.033233404
622	0.031447619
634	0.030061865
641	0.020968711
642	0.022925122
644	0.030379103
645	0.028265238
646	0.027737495
647	0.027815616
649	0.032447916
652	0.018356487
656	0.018591922
657	0.025448069
661	0.023759486
664	0.027203947
668	0.024225844
671	0.022620391
672	0.02680709
673	0.026642172
674	0.023176551
675	0.030564023
677	0.029128985
678	0.030475961
679	0.024001885
682	0.031794515
683	0.027919259
684	0.016561102
686	0.022436727
688	0.021850808
689	0.020560626
696	0.020541534
699	0.029884517
703	0.026654648
706	0.034057345
708	0.028999405
710	0.042761356
714	0.026558517
718	0.030542588
721	0.029582635
722	0.031226933
723	0.036528561
724	0.03595176
730	0.033179071
736	0.032239351
738	0.01949228
739	0.03646265
743	0.017809639
746	0.030913306
747	0.025380358
750	0.025568901
751	0.03774431
752	0.023782231
754	0.015107205
756	0.028621532
762	0.021839457
765	0.023177383
766	0.025577636
769	0.019313831
770	0.036193479
771	0.023996731
