Step	Value
5	38.71859741
6	26.36788368
11	4.418750286
14	3.331155777
15	3.291472197
18	3.19017005
20	2.943599701
24	2.818681955
36	2.424957037
40	1.874842286
42	1.835272312
44	2.708223581
45	2.476326942
47	1.94830358
53	1.986037374
54	2.303299665
55	2.735550642
56	1.918289304
57	2.616495848
65	2.114768505
68	2.575351954
71	2.051853418
72	1.992661953
73	2.301214218
74	1.70478785
79	1.960193634
87	2.378077269
88	1.984755516
94	1.789783835
102	2.633065939
105	2.424972296
106	2.348110437
113	1.983767867
116	1.932394147
118	1.804333448
126	1.948533535
129	1.445121646
130	1.49981916
139	2.122755766
141	2.499555111
142	1.492102861
143	2.190599918
150	1.856826901
155	1.783459544
157	1.845106363
158	1.498468876
162	2.46052146
167	2.015785933
168	1.810165882
171	1.429984093
177	1.498663545
178	1.486578584
180	1.699079156
183	1.894010782
185	1.970807433
186	2.038703442
188	1.304130197
190	1.691642284
191	1.253410101
198	1.143780947
206	1.55740869
207	1.997632384
208	1.458562255
212	1.930526137
222	1.358741879
223	1.444709539
225	1.325784564
229	1.354423165
232	1.306185722
233	1.848142862
234	1.442408085
237	1.704173684
249	1.492601752
255	1.102285504
258	1.00649631
260	1.261121988
261	1.212143302
263	1.091770291
267	1.072839618
271	1.368564963
273	1.29092443
278	0.99890703
292	1.131600976
297	1.255275607
298	1.003795862
302	0.858376622
303	0.967251837
307	1.116054893
308	1.075457215
310	0.978593111
313	1.179163814
318	1.069305182
319	1.089894533
320	0.945504308
325	0.763833761
326	0.929201424
327	1.343208313
330	1.075330615
339	0.777450621
341	1.083259583
347	1.115127325
353	0.864720166
354	0.800332546
360	0.898332596
363	0.831606805
367	0.955087066
371	0.685112834
373	0.878877759
377	0.747270286
378	1.20052135
379	0.967216492
381	0.778425694
386	1.095187306
391	0.608346581
392	1.044462442
393	1.400036573
408	0.671643436
415	0.660206974
421	0.799220145
422	0.711867988
424	0.577433884
426	0.811433613
430	0.546761215
439	1.04675138
441	0.625682116
442	0.617215216
445	0.899461746
451	0.657498062
459	0.524199724
460	0.783720434
463	0.776840031
464	0.801958621
473	0.640539944
474	0.661880374
485	1.025854945
488	0.917541683
489	0.94637382
491	0.666151881
493	0.832951903
507	0.767739654
512	0.663784444
514	0.672926366
517	0.581658542
519	0.772062719
524	0.536673307
525	0.595496953
531	1.092045784
533	0.823880017
534	0.809611142
536	0.671682596
537	0.540582299
540	0.586121082
542	0.882698536
547	0.609993994
548	0.714972913
557	0.668544173
559	0.848831296
563	0.891485274
564	0.960155845
565	0.926811755
569	0.422395855
573	0.808679342
574	0.682997942
577	0.777465701
579	0.743211329
580	0.745097995
581	0.843099475
582	1.130373478
583	1.507526398
584	0.906440437
586	0.687990785
587	0.847703695
592	0.853827238
593	0.582668006
597	0.623022079
600	0.982917249
602	0.734817505
608	1.294038534
610	0.783855736
615	0.795233846
619	0.739840806
620	0.919275522
622	0.675584137
634	0.750712454
641	0.80465287
642	0.849806964
644	0.739026487
645	0.761040628
646	0.79407382
647	0.59258157
649	0.714330256
652	0.844351411
656	0.972286642
657	0.819155991
661	0.826932192
664	0.835338116
668	0.509116352
671	0.558224022
672	0.575181723
673	0.562657535
674	0.425748795
675	0.767741323
677	0.667575538
678	0.742014408
679	0.937072098
682	0.909835994
683	0.858449697
684	0.571351826
686	0.79531008
688	0.641725302
689	0.702570856
696	0.995687306
699	0.770297825
703	0.464780182
706	0.561978877
708	0.894650042
710	0.770203233
714	0.487304568
718	0.916434407
721	0.664902747
722	1.054144502
723	0.710807979
724	0.714279413
730	0.652228415
736	0.708608568
738	0.820025384
739	0.698597491
743	0.546283185
746	0.59924227
747	0.73669821
750	0.658903182
751	0.556260288
752	0.691883564
754	0.610798895
756	0.475519091
762	0.923335075
765	0.437286377
766	0.634422183
769	0.590227962
770	0.473328829
771	0.5839504
773	0.567146003
774	0.452346563
780	0.741808355
784	0.694815218
785	0.615940332
787	0.601235747
789	0.764471173
791	0.668074071
792	0.8672086
793	0.823393583
794	0.555477262
795	0.50698185
798	0.636626005
800	0.896348178
802	0.695334077
805	0.551893473
807	0.748098254
808	0.562174737
809	0.889606476
815	0.460587382
816	0.647575676
818	0.488093734
821	0.61950016
825	0.852853775
828	0.651761651
831	0.61538744
832	0.654611826
834	0.690183997
836	0.767472804
838	1.009297132
843	0.51250428
846	0.797447443
848	0.617427647
863	0.762587309
867	0.79441148
869	0.480374157
870	0.642686188
874	0.526397943
876	0.574556768
877	0.513177514
880	0.907491446
882	0.46122086
884	0.635475516
887	0.710313797
889	0.682994902
890	0.499045759
892	0.666831255
896	0.881905258
900	0.646471679
907	0.608773112
908	0.703563333
909	0.495205373
910	0.786212981
912	0.508479595
915	0.398415089
916	0.480965912
917	0.822705328
920	0.599793971
921	0.689888418
922	0.418581545
923	0.411055923
931	0.392570436
932	0.90213412
935	0.629503846
942	0.633143842
945	0.617044091
953	0.661073565
954	0.670101941
956	0.611172438
957	0.503483236
958	0.502156377
961	0.691331625
962	0.493764073
964	0.465708792
966	0.44997552
971	0.785663247
972	0.953454554
976	0.918509305
977	0.578854144
978	0.666251302
979	0.481973737
982	0.734257519
983	0.548946738
984	0.80713141
987	0.379636973
988	0.518839657
996	0.837765455
1000	0.505482674
1002	0.885843158
1004	0.656298816
1005	0.793896496
1008	0.529940724
1011	0.513383865
1012	0.485557407
1013	0.717885196
1014	0.389162511
1017	0.724107683
1025	0.541427553
1027	0.756929517
1029	0.543550849
1031	0.657163739
1032	0.454476088
1035	0.528027773
1037	0.708031058
1039	0.725777686
1044	0.434693128
1051	0.565352917
1052	0.537505269
1055	0.613253236
1057	0.478618562
1063	0.703932524
1064	0.936449409
1066	0.631853819
1068	0.622541606
1072	0.517873466
1076	0.676046789
1078	0.363479912
1083	0.702902973
1084	0.458310038
1085	0.682460606
1092	0.583241642
1093	0.89762342
1099	0.465841383
1103	0.578260243
1104	0.486205876
1105	0.562780619
1114	0.586722732
1116	0.521913946
1119	0.695141137
1125	0.609653234
1126	0.643290937
1130	0.413553208
1133	0.569948316
1134	0.530712426
1135	0.417247504
1138	0.623475134
1149	0.486688763
1152	0.476501822
1155	0.613333762
1156	0.456817001
1157	0.332418323
1160	0.463006437
1161	0.509864986
1162	0.666739404
1177	0.442922562
1180	0.447526664
1182	0.522555113
1183	0.613858044
1185	0.653236449
1186	0.621720612
1189	0.596450567
1192	0.402922243
1193	0.693195283
1195	0.924081922
1197	0.579269171
1199	0.638273001
1201	0.44549337
1204	0.482294708
1206	0.578138947
1208	0.50564754
1210	0.359541208
1212	0.514089406
1214	0.354092091
1224	0.40050289
1228	0.592312574
1232	0.518923104
1233	0.482490927
1234	0.322805673
1236	0.614242315
1239	0.805532634
1242	0.76640743
1244	0.390373796
1247	0.538251817
1253	0.541681588
1255	0.549295247
1257	0.922286332
1258	0.701646328
1261	0.449728698
1262	0.400455743
1263	0.435074329
1266	0.436407149
1274	0.710055351
1279	0.30755955
1281	0.417547524
1287	0.408945858
1291	0.474684387
1292	0.588275373
1293	0.58406812
1294	0.379343808
1300	0.629723847
1303	0.580357134
1310	0.651304722
1312	0.3970263
1315	0.906958044
1316	0.366911799
1319	0.60058862
1320	0.38169083
1325	0.601025879
1326	0.501832604
1327	0.585502923
1330	0.569623172
1333	0.434061617
1334	0.465818167
1335	0.437268376
1336	0.455206156
1337	0.422308832
1343	0.588337719
1349	0.533051014
1355	0.642482638
1359	0.647323012
1361	0.466766447
1366	0.967595458
1370	0.675964773
1377	0.459776521
1379	0.539823234
1382	0.549270689
1384	0.419599712
1385	0.624732912
1388	0.869670749
1389	0.580507696
1391	0.442290515
1392	0.675087094
1395	0.381949067
1412	0.549277186
1413	0.330188245
1414	0.458151281
1415	0.516404331
1419	0.320215136
1422	0.426201284
1426	0.624447584
1427	0.86668539
1428	0.465226024
1432	0.463528007
1433	0.629087746
1434	0.381893128
1436	0.829009771
1438	0.605802476
1440	0.692298353
1442	0.466534078
1450	0.871804297
1455	0.499432802
1456	0.612390101
1465	0.370549858
1466	0.32984513
1477	0.410504371
1482	0.554523647
