Step	Value
5	1.848908782
6	1.199124455
11	0.130992398
14	0.167031646
15	0.388114095
18	0.286542922
20	0.223665297
24	0.1218943
36	0.084591098
40	0.272742361
42	0.160679564
44	0.308022738
45	0.533840239
47	0.079316616
53	0.161469817
54	0.260893792
55	0.215945601
56	0.311778277
57	0.483420014
65	0.191080153
68	0.122786798
71	0.169090644
72	0.152131855
73	0.140794262
74	0.17725499
79	0.088664867
87	0.298130691
88	0.187300876
94	0.149476811
102	0.138605177
105	0.220956877
106	0.424781322
113	0.059493978
116	0.432135493
118	0.600750625
126	0.381348699
129	0.073841803
130	0.275527567
139	0.12823832
141	0.085602961
142	0.035644874
143	0.152690694
150	0.229044721
155	0.036782697
157	0.542744219
158	0.140746608
162	0.404211015
167	0.476582676
168	0.219971612
171	0.126072869
177	0.161616966
178	0.037890363
180	0.067822419
183	0.449595124
185	0.075727411
186	0.296344757
188	0.267244279
190	0.255841166
191	0.04666689
198	0.217053056
206	0.102169834
207	0.431226999
208	0.803651631
212	0.178628087
222	0.467841297
223	0.182811067
225	0.476669759
229	0.193159342
232	0.236020684
233	0.309406757
234	0.112790205
237	0.090018876
249	0.382271618
255	0.049522519
258	0.091416202
260	0.206084564
261	0.078140818
263	0.244772986
267	0.106574096
271	0.160660103
273	0.099106468
278	0.268869877
292	0.300797373
297	0.330829352
298	0.456607819
302	0.316413403
303	0.236099839
307	0.182045415
308	0.075530089
310	0.221142665
313	0.019165112
318	0.048659582
319	0.115657032
320	0.307471037
325	0.075809605
326	0.114176042
327	0.034056142
330	0.188083649
339	0.135518834
341	0.238641858
347	0.00740763
353	0.150688782
354	0.109957457
360	0.172241971
363	0.345876932
367	0.298038036
371	0.210599259
373	0.17331481
377	0.136645302
378	0.128170326
379	0.217876717
381	0.093694963
386	0.057631582
391	0.447855234
392	0.324255258
393	0.153923228
408	0.083113514
415	0.656581461
421	0.097352646
422	0.322603792
424	0.223327711
426	0.065357886
430	0.195082024
439	0.099238671
441	0.052953016
442	0.108877957
445	0.115921609
451	0.14707607
459	0.1666352
460	0.192812398
463	0.300799996
464	0.101545431
473	0.225567237
474	0.138081059
485	0.142071843
488	0.113274895
489	0.230601594
491	0.082699478
493	0.087065794
507	0.318444371
512	0.053588718
514	0.335584491
517	0.029099414
519	0.160202369
524	0.150834367
525	0.212273315
531	0.098558404
533	0.037785735
534	0.265210509
536	0.338126093
537	0.040065523
540	0.104611598
542	0.052210014
547	0.008784452
548	0.153662935
557	0.142262578
559	0.199194714
563	0.508190691
564	0.154526025
565	0.241484568
569	0.221020803
573	0.160776436
574	0.257963538
577	0.320455223
579	0.195882902
580	0.062870584
581	0.08811263
582	0.094342373
583	0.0947733
584	0.117584504
586	0.217985794
587	0.196301535
592	0.019109009
593	0.124738604
597	0.222254559
600	0.156610712
602	0.049544651
608	0.157373741
610	0.170682982
615	0.07539358
619	0.096988916
620	0.105465718
622	0.038309082
634	0.190975904
641	0.154596195
642	0.20927681
644	0.165022686
645	0.321992725
646	0.226453945
647	0.045158718
649	0.019749086
652	0.170920655
656	0.269337475
657	0.321028233
661	0.11002025
664	0.243198916
668	0.148711428
671	0.042729229
672	0.101338804
673	0.062144667
674	0.143722847
675	0.08692003
677	0.098961137
678	0.028965728
679	0.039156374
682	0.426729411
683	0.771108866
684	0.388626188
686	0.098451227
688	0.202910304
689	0.103899948
696	0.020212246
699	0.136160791
703	0.123108208
706	0.101665534
708	0.119369335
710	0.284951806
714	0.114703543
718	0.195014194
721	0.052892487
722	0.145881936
723	0.096377723
724	0.167880669
730	0.123305462
736	0.202241674
738	0.106494643
739	0.264416337
743	0.287853867
746	0.136605516
747	0.087644599
750	0.079366408
751	0.139654383
752	0.318896472
754	0.178686902
756	0.05563933
762	0.236979768
765	0.255712032
766	0.15046069
769	0.0881088
770	0.201477587
