Step	Value
5	18.2273922
6	4.786547184
11	2.729943037
14	1.843177795
15	1.790960908
18	1.328325272
20	1.145570517
24	0.655841053
36	0.225023583
40	0.167954624
42	0.116969943
44	0.142534181
45	0.176090166
47	0.21224387
53	0.478896618
54	0.539542735
55	0.984055042
56	0.589843452
57	0.881096065
65	1.214607596
68	1.294100881
71	1.590812564
72	1.730224252
73	1.17648828
74	1.433092117
79	0.783510625
87	0.515562832
88	0.524615467
94	0.158355057
102	0.180025175
105	0.18458046
106	0.131251991
113	0.595682919
116	0.819842279
118	0.900804043
126	0.7640028
129	1.516562819
130	0.684917748
139	0.155018613
141	0.26359883
142	0.364557773
143	0.170721829
150	1.790598273
155	1.809168816
157	1.049086571
158	1.746762276
162	1.162128925
167	2.292695761
168	2.302732706
171	2.088502884
177	2.088958979
178	1.828559279
180	1.707369685
183	0.753571033
185	0.188486144
186	0.243059918
188	0.669057906
190	0.124641411
191	0.115634792
198	0.137109458
206	0.187462494
207	0.257962853
208	0.163519368
212	0.235375002
222	0.362454325
223	0.3071841
225	0.168532863
229	0.195970103
232	0.170166612
233	0.256360859
234	0.151126936
237	0.293666154
249	0.496238381
255	0.601902068
258	0.259473771
260	0.329086035
261	0.606636524
263	0.351490498
267	0.611810923
271	0.606672525
273	0.446478456
278	0.161009058
292	0.112690188
297	0.070510961
298	0.117896855
302	0.980474889
303	0.737720013
307	0.523288786
308	0.413384706
310	0.183715701
313	0.085486919
318	0.236865982
319	0.141493991
320	0.10348314
325	0.107577384
326	0.116078041
327	0.110351406
330	0.07517653
339	0.234167889
341	0.201221183
347	0.387227535
353	0.197473407
354	0.177249432
360	0.264385968
363	0.090537257
367	0.128918558
371	0.046417337
373	0.159987882
377	0.180832222
378	0.154779017
379	0.305016875
381	0.297463983
386	0.215084195
391	0.175861239
392	0.120197691
393	0.137651861
408	0.039606463
415	0.033818211
421	0.115166068
422	0.075481944
424	0.113300435
426	0.152151629
430	0.149183661
439	0.132206142
441	0.055747464
442	0.077730365
445	0.328298837
451	0.109468542
459	0.293833971
460	0.950125515
463	0.190380201
464	0.104990087
473	0.130388007
474	0.069132328
485	0.079903781
488	0.084593497
489	0.2092641
491	0.11591506
493	0.060758736
507	0.691102684
512	0.154918924
514	0.235530362
517	0.071432091
