Step	Value
5	0.168756962
6	0.157135814
11	0.085129529
14	0.09859968
15	0.083824582
18	0.078579299
20	0.104160473
24	0.068388283
36	0.073039331
40	0.045925219
42	0.052846942
44	0.058233764
45	0.051840164
47	0.062286451
53	0.058084305
54	0.045198392
55	0.049364649
56	0.054443657
57	0.058686543
65	0.050490096
68	0.038286876
71	0.047512949
72	0.054888148
73	0.033715222
74	0.045557417
79	0.042038761
87	0.043856271
88	0.044831347
94	0.043264735
102	0.037584804
105	0.044632025
106	0.035748031
113	0.047758188
116	0.037308414
118	0.035902333
126	0.03318464
129	0.048028428
130	0.041173786
139	0.051380098
141	0.036716554
142	0.028557476
143	0.038957253
150	0.03008821
155	0.049438611
157	0.03297602
158	0.037170608
162	0.035103504
167	0.034450538
168	0.029763134
171	0.041211076
177	0.033076048
178	0.037841421
180	0.042045936
183	0.030774571
185	0.026333272
186	0.037965879
188	0.035171773
190	0.023834571
191	0.025312664
198	0.024743728
206	0.027863342
207	0.028827388
208	0.032730035
212	0.026612399
222	0.02444238
223	0.024091545
225	0.027959976
229	0.034241751
232	0.033312578
233	0.021710744
234	0.020635083
237	0.022117276
249	0.064240806
255	0.024665231
258	0.021263132
260	0.023895716
261	0.024687292
263	0.020222604
267	0.02399829
271	0.024972094
273	0.025497116
278	0.018027382
292	0.026119908
297	0.027666107
298	0.021105921
302	0.021404359
303	0.021788755
307	0.019503189
308	0.020101562
310	0.020796338
313	0.020791845
318	0.025830399
319	0.01632856
320	0.019031728
325	0.017008733
326	0.022019388
327	0.024122303
330	0.02151487
339	0.017982109
341	0.019726509
347	0.020416204
353	0.02296729
354	0.024278704
360	0.019794293
363	0.014800631
367	0.023186473
371	0.020387961
373	0.024095405
377	0.022847392
378	0.025065994
379	0.019164495
381	0.01758706
386	0.015693163
391	0.016624121
392	0.014411214
393	0.016053509
408	0.020243192
415	0.017116014
421	0.014164395
422	0.013021871
424	0.017477786
426	0.016631939
430	0.020103753
439	0.018119358
441	0.020761298
442	0.015144969
445	0.014196383
451	0.013316837
459	0.014473508
460	0.016397746
463	0.016815377
464	0.013537737
473	0.016192013
474	0.021629056
485	0.018163109
488	0.014002587
489	0.018767193
491	0.022107981
493	0.015953166
507	0.014078251
512	0.019799333
514	0.015895475
517	0.015647968
519	0.017990246
524	0.017020695
525	0.017999329
531	0.017137507
533	0.013746646
534	0.017080333
536	0.017542901
537	0.016245509
540	0.013752428
542	0.01468146
547	0.013212373
548	0.011419688
557	0.013832366
559	0.015525348
563	0.013338091
564	0.01493975
565	0.019374665
569	0.016877254
573	0.013144741
574	0.014975557
577	0.015094065
579	0.01383069
580	0.016323544
581	0.018048933
582	0.015577045
583	0.016708095
584	0.016488329
586	0.014125736
587	0.014029304
592	0.01520514
593	0.016033744
597	0.016498268
600	0.011977061
602	0.014120238
608	0.011798657
610	0.014302665
615	0.013600131
619	0.022497227
620	0.01860377
622	0.014397893
634	0.015568698
641	0.016914669
642	0.013694816
644	0.014200997
645	0.016083546
646	0.017154453
647	0.01500161
649	0.015412259
652	0.015083231
656	0.017228162
657	0.014719088
661	0.013205958
664	0.023628887
668	0.010806253
671	0.014547266
672	0.015461268
673	0.012222352
674	0.013409635
675	0.015840694
677	0.012026044
678	0.011314446
679	0.010144025
682	0.014052073
683	0.015890308
684	0.019723272
686	0.011776862
688	0.013738954
689	0.01373576
696	0.01544092
699	0.013480774
703	0.011771806
706	0.015045776
708	0.011639337
710	0.010772163
714	0.014510844
718	0.014718092
721	0.012654338
722	0.010210802
723	0.012459748
724	0.011821447
730	0.012234919
736	0.013143117
738	0.013732172
739	0.013533488
743	0.010543634
746	0.01134407
747	0.016067216
750	0.012955225
751	0.012211783
752	0.016505908
754	0.016262978
756	0.011673159
762	0.01261242
765	0.012304393
766	0.016800558
769	0.011263259
770	0.012417091
771	0.012349507
773	0.01054425
774	0.010126941
780	0.013124761
784	0.015741082
785	0.02155859
787	0.011755426
789	0.011576267
791	0.010932835
792	0.013341977
793	0.013558991
794	0.014131154
795	0.012575991
798	0.020266892
800	0.011715869
802	0.009890097
805	0.01025811
807	0.010972855
808	0.013183304
809	0.013123969
815	0.013358041
816	0.01161152
818	0.013211753
821	0.010870364
825	0.01219038
828	0.012160929
831	0.01710709
832	0.016769439
834	0.014502323
836	0.00982203
838	0.012248402
843	0.008319627
846	0.013921223
848	0.010562669
863	0.012550892
867	0.013136072
869	0.011796532
870	0.010526882
874	0.012813866
876	0.010510238
877	0.008906842
880	0.009066939
882	0.008831566
884	0.011115727
887	0.008954885
889	0.009799656
890	0.011017745
892	0.012395314
896	0.012970133
900	0.011345834
907	0.011974807
908	0.011077622
909	0.01372006
910	0.014168505
912	0.012880727
915	0.013203193
916	0.01125997
917	0.013180244
920	0.009734137
921	0.009723567
922	0.009754594
923	0.010603318
931	0.013768296
932	0.009311426
935	0.012519144
942	0.010603108
945	0.011257359
953	0.008744511
954	0.010950896
956	0.010947127
957	0.012645517
958	0.012048057
961	0.014473438
962	0.013100433
964	0.010407747
966	0.010752952
971	0.009533909
972	0.009735734
976	0.012619249
977	0.010615723
978	0.010408899
979	0.009233664
982	0.013718521
983	0.013181661
984	0.011099113
987	0.010669631
988	0.013857957
996	0.009763147
1000	0.008432771
1002	0.01158036
1004	0.010917898
1005	0.009405076
1008	0.010314745
1011	0.013902537
1012	0.009283612
1013	0.008696983
1014	0.008222254
1017	0.009225102
1025	0.011315447
1027	0.009245786
1029	0.011467548
1031	0.01112312
1032	0.011716499
1035	0.010739329
1037	0.00994721
1039	0.009280278
1044	0.010793151
1051	0.01047077
1052	0.008951196
1055	0.011331826
1057	0.011887102
1063	0.014288832
1064	0.016017763
1066	0.011998588
1068	0.009261847
1072	0.01113789
1076	0.013871538
1078	0.010626296
1083	0.01049969
1084	0.012604915
1085	0.017526954
1092	0.014087491
1093	0.012122738
