Step	Value
1	-4.071714401245110
1	-4.195795059204100
3	-4.784768104553220
3	-5.000843048095700
4	-5.198071002960200
213	-0.9918611645698547
214	-0.9864234924316406
214	-0.9856075048446655
215	-0.9812145829200745
217	-0.9721044301986694
218	-0.9678165912628174
219	-0.9650475978851318
219	-0.9646636843681335
224	-0.9447391629219055
224	-0.9436888694763184
227	-0.9313425421714783
228	-0.9297793507575989
231	-0.9160348176956177
233	-0.9101547002792358
234	-0.9074101448059082
234	-0.9040131568908691
235	-0.9038035869598389
235	-0.9004051685333252
237	-0.89662766456604
238	-0.8917289972305298
238	-0.8910027146339417
240	-0.8825466632843018
241	-0.882248044013977
241	-0.8813501596450806
241	-0.8800042867660522
241	-0.8790757060050964
242	-0.8781640529632568
243	-0.8752076625823975
245	-0.8672576546669006
246	-0.8633711934089661
247	-0.8616788387298584
253	-0.8411544561386108
256	-0.8307504057884216
257	-0.8289042115211487
261	-0.8161147236824036
261	-0.8154863119125366
263	-0.8114262819290161
265	-0.8040624856948853
267	-0.798001766204834
269	-0.7924245595932007
270	-0.790189266204834
274	-0.7784772515296936
276	-0.773166835308075
277	-0.7708154916763306
280	-0.7618197798728943
283	-0.7541381120681763
285	-0.7503350973129272
287	-0.7434144616127014
289	-0.7398418188095093
290	-0.736044704914093
291	-0.7347664833068848
293	-0.7303147315979004
294	-0.7261986136436462
296	-0.7215964794158936
300	-0.7116608619689941
303	-0.7065238356590271
303	-0.706256091594696
311	-0.6880173087120056
312	-0.6869353652000427
312	-0.685528576374054
314	-0.6827309727668762
314	-0.6815415024757385
315	-0.6796432733535767
315	-0.6795415878295898
316	-0.6788858771324158
316	-0.6781448721885681
320	-0.6706786155700684
321	-0.6686004996299744
324	-0.6628450751304626
325	-0.6609708666801453
326	-0.6586844325065613
330	-0.6493375301361084
331	-0.6482856273651123
337	-0.636478841304779
340	-0.6320098638534546
341	-0.6305971145629883
342	-0.6277549266815186
344	-0.6251035928726196
351	-0.6113908886909485
352	-0.6103952527046204
357	-0.6024200320243835
357	-0.6018160581588745
362	-0.5927636027336121
364	-0.5909616351127625
365	-0.5891768932342529
365	-0.5881609916687012
369	-0.5817610621452332
373	-0.5763816833496094
376	-0.5722600817680359
377	-0.5698845386505127
378	-0.5695782899856567
379	-0.5679797530174255
379	-0.5678257942199707
381	-0.5640970468521118
383	-0.5616394281387329
384	-0.5600631237030029
385	-0.5596271753311157
391	-0.550527036190033
392	-0.5492498278617859
394	-0.5457269549369812
396	-0.5433695316314697
398	-0.5412012934684753
402	-0.5358142256736755
403	-0.5340860486030579
404	-0.5332935452461243
405	-0.5315915942192078
405	-0.5312876105308533
409	-0.5268560647964478
410	-0.5252323746681213
417	-0.5165846943855286
419	-0.514178454875946
419	-0.5139349102973938
419	-0.5137988328933716
423	-0.5094550848007202
423	-0.5090497136116028
424	-0.5080264210700989
426	-0.5062975883483887
429	-0.5017474293708801
429	-0.5016958713531494
430	-0.5008097887039185
431	-0.4993433356285095
437	-0.49357473850250244
437	-0.4929598867893219
443	-0.486068993806839
446	-0.48292627930641174
453	-0.4756338596343994
454	-0.4743903577327728
456	-0.47299885749816895
460	-0.468286395072937
463	-0.4656411111354828
466	-0.4628368318080902
468	-0.4606928527355194
468	-0.4604054391384125
477	-0.45263755321502686
478	-0.4513574540615082
478	-0.45105138421058655
481	-0.44832128286361694
487	-0.4427841305732727
488	-0.44216787815093994
489	-0.4407911002635956
494	-0.43707630038261414
494	-0.4369843602180481
496	-0.43528419733047485
497	-0.43363651633262634
498	-0.4331463873386383
499	-0.43245840072631836
503	-0.4289856255054474
504	-0.42829495668411255
504	-0.4277949333190918
507	-0.42570722103118896
510	-0.4230821430683136
511	-0.42236149311065674
513	-0.42027807235717773
513	-0.41993141174316406
514	-0.41978713870048523
514	-0.4195845425128937
514	-0.4194188117980957
516	-0.41801026463508606
517	-0.4173763692378998
517	-0.41736218333244324
519	-0.4155380427837372
521	-0.4138796925544739
522	-0.41291382908821106
527	-0.40944647789001465
528	-0.4087141156196594
529	-0.4072857201099396
539	-0.40017908811569214
544	-0.3963080644607544
546	-0.39498740434646606
547	-0.394246369600296
547	-0.3940095603466034
548	-0.3934043347835541
549	-0.3927821218967438
549	-0.3927392363548279
551	-0.39128729701042175
556	-0.3877507746219635
558	-0.38656556606292725
558	-0.38620543479919434
562	-0.3834698796272278
563	-0.38311150670051575
563	-0.38271579146385193
563	-0.3826509416103363
564	-0.3824533522129059
564	-0.3822941780090332
568	-0.37943020462989807
571	-0.3773486018180847
572	-0.37701407074928284
572	-0.37668702006340027
574	-0.37563595175743103
574	-0.3755677342414856
575	-0.37487074732780457
575	-0.37474334239959717
575	-0.3745742440223694
578	-0.3728165030479431
578	-0.3727285861968994
582	-0.3705090284347534
590	-0.3649188280105591
591	-0.364774227142334
591	-0.36442551016807556
594	-0.36259591579437256
602	-0.3577078878879547
604	-0.35688185691833496
607	-0.3548750579357147
610	-0.3531624674797058
610	-0.3530338704586029
612	-0.35246986150741577
614	-0.3511367440223694
619	-0.34807276725769043
620	-0.34772756695747375
621	-0.3471427261829376
624	-0.34564805030822754
626	-0.3445914089679718
627	-0.3439379930496216
629	-0.34276747703552246
633	-0.34073153138160706
634	-0.3401871621608734
638	-0.33821675181388855
638	-0.33816763758659363
642	-0.33587417006492615
643	-0.33563271164894104
644	-0.3348957300186157
652	-0.33101552724838257
654	-0.3298148810863495
654	-0.32974207401275635
658	-0.3280840516090393
662	-0.32595619559288025
662	-0.32574254274368286
665	-0.32456302642822266
665	-0.3242085874080658
667	-0.3233617842197418
670	-0.32186222076416016
675	-0.31974682211875916
677	-0.31890520453453064
678	-0.31798291206359863
680	-0.31709104776382446
681	-0.3169150650501251
682	-0.3165537714958191
687	-0.313894659280777
689	-0.31315264105796814
690	-0.3129572570323944
694	-0.3109838366508484
695	-0.31038329005241394
697	-0.3098093271255493
698	-0.3092050850391388
699	-0.30893200635910034
699	-0.30860427021980286
701	-0.3079257011413574
703	-0.3071317672729492
707	-0.3053704500198364
710	-0.3039948344230652
711	-0.3036969304084778
713	-0.3028707504272461
718	-0.30075785517692566
720	-0.2999729514122009
720	-0.2997943162918091
721	-0.29956191778182983
721	-0.2993294894695282
723	-0.29887115955352783
723	-0.29856976866722107
724	-0.29804638028144836
728	-0.2967923581600189
