Step	Value
5	0.607458889
6	0.233047962
11	0.593877017
14	0.369410604
15	0.249353483
18	0.229470372
20	0.511455595
24	0.343049616
36	0.38531962
40	0.545881093
42	0.47861138
44	0.70719099
45	0.479663819
47	0.355152488
53	0.149712548
54	0.348238707
55	0.259263247
56	0.696655989
57	0.59270066
65	0.071130551
68	0.493956834
71	0.327442586
72	0.392927885
73	0.376369476
74	0.18039386
79	0.169044614
87	0.37730217
88	0.149838328
94	0.200067878
102	0.38108182
105	0.158727065
106	0.34803459
113	0.39473924
116	0.617439449
118	0.764601529
126	0.137200654
129	0.135539532
130	0.272914141
139	0.150941834
141	0.114602782
142	0.767423689
143	0.308068901
150	0.129239514
155	0.458443642
157	0.059142187
158	0.053705782
162	0.167688489
167	1.120067477
168	0.63788408
171	0.116776578
177	0.373332411
178	0.336844206
180	0.35178709
183	0.081559412
185	0.337730885
186	0.079310596
188	0.090835355
190	0.235681579
191	0.216372833
198	0.182939067
206	0.233305335
207	0.481773049
208	0.086235903
212	0.318706632
222	0.662084401
223	0.075662307
225	0.225406691
229	0.046201099
232	0.047505599
233	0.098203249
234	0.149028763
237	0.667401612
249	0.300374418
255	0.225814342
258	0.021254132
260	0.120852746
261	0.170861408
263	0.128619388
267	0.299826711
271	0.128098518
273	0.276786715
278	0.210050464
292	0.613213837
297	0.34832871
298	0.275291771
302	0.052990694
303	0.092263557
307	0.037648451
308	0.072189204
310	0.110916324
313	0.292559147
318	0.055924732
319	0.048676748
320	0.159505486
325	0.041578658
326	0.18974793
327	0.215185165
330	0.065232031
339	0.063242853
341	0.300128639
347	0.238790512
353	0.524883568
354	0.197357282
360	0.212763116
363	0.168942049
367	0.132693172
371	0.078515559
373	0.241407201
377	0.381655931
378	0.276267648
379	0.379644275
381	0.093037784
386	0.133059725
391	0.212303504
392	0.118524134
393	0.036149923
408	0.177786171
415	0.162385747
421	0.117825828
422	0.133655056
424	0.059377372
426	0.064463384
430	0.289997131
439	0.327080518
441	0.113611482
442	0.139290497
445	0.040981837
451	1.280071735
459	0.240359113
460	0.087896831
463	0.18505913
464	0.061948668
473	0.147187471
474	0.113688499
485	0.479595333
488	0.322317541
489	0.219351351
491	0.165479481
493	0.244816899
507	0.193295911
512	0.23542124
514	0.074606925
517	0.058183193
519	0.197350502
524	0.347364277
525	0.406785637
531	0.015158229
533	0.108354755
534	0.045661706
536	0.042746142
537	0.254485756
540	0.097975664
542	0.028432013
547	0.037640121
548	0.217661485
557	0.072332643
559	0.072635971
563	0.248947695
564	0.110540003
565	0.246426269
569	0.083486579
573	0.020753162
574	0.106408499
577	0.3751041
579	0.069785178
580	0.097629152
581	0.061558586
582	0.248683989
583	0.099071205
584	0.036193699
586	0.169736385
587	0.326415151
592	0.164899454
593	0.114093162
597	0.143873677
600	0.03739531
602	0.216249779
608	0.066622995
610	0.157461897
615	0.229716107
619	0.419073224
620	0.17020528
622	0.0291702
634	0.187377334
641	0.113550395
642	0.066578589
644	0.135456026
645	0.14505659
646	0.239158392
647	0.115014732
649	0.10121984
652	0.042103991
656	0.041811842
657	0.019557144
661	0.048404444
664	0.068997703
668	0.027305761
671	0.037647147
672	0.207599327
673	0.091188878
674	0.12297383
675	0.098135255
677	0.06035538
678	0.008679749
679	0.08493235
682	0.039554913
683	0.11871779
684	0.068307467
686	0.258681089
688	0.331304103
689	0.152961418
696	0.052261863
699	0.186861694
703	0.272451192
706	0.162726879
708	0.244316205
710	0.191586196
714	0.188284799
718	0.17292802
721	0.226164356
722	0.171280369
723	0.074027695
724	0.114314735
730	0.193779394
736	0.071708664
738	0.064966075
739	0.062651604
743	0.078405201
746	0.073135637
747	0.061289493
750	0.146783024
751	0.066100664
752	0.005752719
754	0.023936406
756	0.029049383
762	0.030955995
765	0.19878304
766	0.049995184
769	0.319559246
770	0.189976156
771	0.252705038
773	0.089798696
774	0.229927406
780	0.032981351
784	0.104682863
785	0.038901661
787	0.22650677
789	0.036397163
791	0.052814823
792	0.150994316
793	0.069318824
794	0.230522797
795	0.186366633
798	0.133719429
800	0.06769795
802	0.053184614
805	0.02311006
807	0.108505838
808	0.192554712
809	0.088197432
815	0.037109032
816	0.124998473
818	0.026732316
821	0.02068725
825	0.079360776
828	0.050283264
831	0.071135499
832	0.09265852
834	0.106111526
836	0.169353887
838	0.121879734
843	0.019971022
846	0.358176261
848	0.067238115
863	0.287469715
867	0.009002031
869	0.013176451
870	0.126969591
874	0.011299494
876	0.045808863
877	0.071496338
880	0.242728695
882	0.039686292
884	0.109500997
887	0.021383246
889	0.048390899
890	0.019396046
892	0.017223351
896	0.077094309
900	0.199009717
907	0.107097685
908	0.01627204
909	0.112293601
910	0.010462806
912	0.00639963
915	0.023464335
916	0.030382773
917	0.0509062
920	0.150518939
921	0.123000704
922	0.055040281
923	0.033556975
931	0.020496225
932	0.044783723
935	0.041056145
942	0.072534569
945	0.031948619
953	0.098915912
954	0.262926489
956	0.083475493
957	0.024387285
958	0.038723379
961	0.124045543
962	0.067973979
964	0.135592401
966	0.238864079
971	0.048294529
972	0.061716571
976	0.111344196
977	0.112516381
978	0.104163051
979	0.187383652
982	0.046742093
983	0.074671753
984	0.209014729
987	0.146018744
988	0.036928024
996	0.030250018
1000	0.048739746
1002	0.109917246
1004	0.129191622
1005	0.036221273
1008	0.06603533
1011	0.029158274
1012	0.013930458
1013	0.087974846
1014	0.296657473
1017	0.160082534
1025	0.045901243
1027	0.038848694
1029	0.050294507
1031	0.035102427
1032	0.056257989
1035	0.086766995
1037	0.160991266
1039	0.047173709
1044	0.045020048
1051	0.078241356
1052	0.128811434
1055	0.027756458
1057	0.044479433
1063	0.194277301
1064	0.093273677
1066	0.42244029
1068	0.040454946
1072	0.021027887
1076	0.079168439
1078	0.173627973
1083	0.02746135
1084	0.063244067
1085	0.136262953
1092	0.164147913
1093	0.130148903
1099	0.224385545
1103	0.106224157
1104	0.225484967
1105	0.224352002
1114	0.082801528
1116	0.159032136
1119	0.145019248
1125	0.039441343
1126	0.112786718
1130	0.028612912
1133	0.02447019
1134	0.217230365
1135	0.109653749
1138	0.011321676
1149	0.079894535
1152	0.133571669
1155	0.035466533
1156	0.168827176
1157	0.144378915
1160	0.065318525
1161	0.030786144
1162	0.079812117
1177	0.141506851
1180	0.114977956
1182	0.04968952
1183	0.046686333
1185	0.106360085
1186	0.113245927
1189	0.053954337
1192	0.053229857
1193	0.044163316
1195	0.016966799
1197	0.296689421
1199	0.105994932
1201	0.069830783
1204	0.029086983
1206	0.119291902
1208	0.069471501
1210	0.016560426
1212	0.027825028
1214	0.117144227
1224	0.056712519
1228	0.061959848
1232	0.028789021
1233	0.054032546
1234	0.057136551
1236	0.015385289
1239	0.257235616
1242	0.220107749
1244	0.176039323
1247	0.094049342
1253	0.241208971
1255	0.086705364
1257	0.045741748
1258	0.043066096
1261	0.130126417
1262	0.3004691
1263	0.249263272
1266	0.116888024
1274	0.022560028
1279	0.126899883
1281	0.080151059
1287	0.124530651
1291	0.10080532
1292	0.153655604
1293	0.084533148
1294	0.089464031
1300	0.255331069
1303	0.046416998
1310	0.029356116
1312	0.166402712
1315	0.089343973
1316	0.166491568
1319	0.124094285
1320	0.121256679
1325	0.050934482
1326	0.04991265
1327	0.06118365
1330	0.043889035
1333	0.063757308
1334	0.09411075
1335	0.110142983
1336	0.132671207
1337	0.05738255
1343	0.099965475
1349	0.048125114
1355	0.048982859
1359	0.085426949
1361	0.18811892
1366	0.037711304
1370	0.145914897
1377	0.063857481
1379	0.02050285
1382	0.031685002
1384	0.027286708
1385	0.045041114
1388	0.165772662
1389	0.181611061
1391	0.028919274
1392	0.049432445
1395	0.018207991
1412	0.084467739
1413	0.128921479
1414	0.231802836
1415	0.19615446
1419	0.147826329
1422	0.105943173
1426	0.096437097
1427	0.127047434
1428	0.052554321
1432	0.242675483
1433	0.075097986
1434	0.060929667
1436	0.103947699
1438	0.05539209
1440	0.095094778
1442	0.140511602
1450	0.061037969
1455	0.10397727
1456	0.055516452
1465	0.146799877
1466	0.077891499
1477	0.216007039
1482	0.13833864
1485	0.151131928
1486	0.076675363
1489	0.119387873
1491	0.145313308
1492	0.072026394
1500	0.160251647
1501	0.11702729
1502	0.147479132
1503	0.121530175
1506	0.052258912
1508	0.089453101
1509	0.199311897
1510	0.078841992
1518	0.031415276
1523	0.100537144
1524	0.025451316
1527	0.033019811
1534	0.085177325
1536	0.128642574
1546	0.172604069
1551	0.043017637
1552	0.030490821
1554	0.032689709
1555	0.054743927
1561	0.122503243
1562	0.166696548
1568	0.035200495
1569	0.057117622
1578	0.090888798
1582	0.201475248
1584	0.123995364
1588	0.036940183
1597	0.047040235
1599	0.118752934
1602	0.085109912
1604	0.063795112
1605	0.090314925
1610	0.091720022
1613	0.124617063
1618	0.177500889
1620	0.1099452
1624	0.037026312
1626	0.118719213
1627	0.094829045
1628	0.088728964
1630	0.058823317
1632	0.096822761
1637	0.023673436
1640	0.064400904
1642	0.160801306
1645	0.030595256
1648	0.158405825
1652	0.082858406
1655	0.155850857
1659	0.068015136
1660	0.215003729
1661	0.09287592
1668	0.08161404
1670	0.075168937
1672	0.046771824
1675	0.085043132
1676	0.167204097
1682	0.060983703
1683	0.049745273
1687	0.063755155
1691	0.057839017
1694	0.0957608
1695	0.057315737
1696	0.026416698
1697	0.033262137
1699	0.024303026
1702	0.169381186
1709	0.157154962
1710	0.166420847
1715	0.016497629
1717	0.065675892
1718	0.078141682
1719	0.04206425
1728	0.078884967
1732	0.032674566
1733	0.099640489
1734	0.07504411
1735	0.11318367
1737	0.127684161
1742	0.127658248
1743	0.222981051
1745	0.070071138
1746	0.104709268
1747	0.089606851
1750	0.126029685
1752	0.06757246
1753	0.071902089
1754	0.077371486
1763	0.061489303
1766	0.139744431
1775	0.103205778
1781	0.159353003
1782	0.0856243
1788	0.068877138
1789	0.06820032
1790	0.214180514
1792	0.16197598
1798	0.052715942
1804	0.138338983
1805	0.111245014
1813	0.070261426
1814	0.102331303
1817	0.123671375
1820	0.082581751
1824	0.043993142
1826	0.126801208
1830	0.043982249
1836	0.15334408
1840	0.034441452
1841	0.048157405
1844	0.044478964
1846	0.027409056
1849	0.081579804
1853	0.051363174
1855	0.084908329
1857	0.131691366
1858	0.040612761
1859	0.067114741
1866	0.078128673
1868	0.11515782
1869	0.045437355
1875	0.144231334
1876	0.027137661
1877	0.039913315
1879	0.091212802
1881	0.099847376
1893	0.0305051
1902	0.044784676
1906	0.096990742
1911	0.022943439
1912	0.065123044
1917	0.114081562
1918	0.138162091
1919	0.023532122
1923	0.083677113
1924	0.118357219
1930	0.040735338
1934	0.015715687
1935	0.049195707
1936	0.027246991
1938	0.040206987
1939	0.066775776
1944	0.047133625
1947	0.10879425
1949	0.122016907
1952	0.08214239
1955	0.044401873
1958	0.028852582
1960	0.103492886
1966	0.0835298
1967	0.100316949
1969	0.245064691
1971	0.14660348
1980	0.056684911
1981	0.08006122
1982	0.015090961
1983	0.008494589
1997	0.022281921
2001	0.106224567
2005	0.113571249
2006	0.049034219
2009	0.025290549
2010	0.069403462
2013	0.178877592
2015	0.03184567
2017	0.019222714
2022	0.056673139
2025	0.02855364
2027	0.088416271
2028	0.17813246
2030	0.137986526
2033	0.112367071
2036	0.090765357
2038	0.075829141
2041	0.032917213
2044	0.023458967
2045	0.028796071
2048	0.099711753
2051	0.051493675
2059	0.010259361
2060	0.038815338
2062	0.03149195
2067	0.072520018
2072	0.038628582
2073	0.135358706
2074	0.073015817
2076	0.11566516
2077	0.023441887
2079	0.058909819
2081	0.109216332
2084	0.029765256
2085	0.077031016
2089	0.041584734
2094	0.048399035
2096	0.076253496
2102	0.107178219
2103	0.062911704
2104	0.090624131
2105	0.051884923
2106	0.053142533
2109	0.109148286
2111	0.07260751
2114	0.055340946
2115	0.104084469
2118	0.046453014
2120	0.085974745
2122	0.06000926
2123	0.133771732
2124	0.070333168
2128	0.075977743
2132	0.037009418
2133	0.044794004
2134	0.109942652
2138	0.05412088
2139	0.044492979
2141	0.062096287
2142	0.081845641
2144	0.087987483
2145	0.053556349
2146	0.086661965
2148	0.155102298
2149	0.130760297
2151	0.079271294
2154	0.061221134
2156	0.164449587
2157	0.095490545
2163	0.095680393
2164	0.084983669
2165	0.133561999
2169	0.290043801
2171	0.1137757
2173	0.132117853
2177	0.046124656
2184	0.020030499
2187	0.04270697
2189	0.044408008
2191	0.070061259
2192	0.105861209
2196	0.05562067
2198	0.089998581
2199	0.102758318
2200	0.123417176
2203	0.068318792
2204	0.02577523
2207	0.039897207
2208	0.09076459
2211	0.081982158
2214	0.031603944
2218	0.040158555
2224	0.100399554
2225	0.048737407
2228	0.061766844
2229	0.020796923
2231	0.029979326
2233	0.061603472
2234	0.080304973
2236	0.125850737
2237	0.024296494
2239	0.054186892
2240	0.033660609
2241	0.016951611
2242	0.016604861
2244	0.037694078
2246	0.094015904
2247	0.026316753
2251	0.187307894
2252	0.145606741
2254	0.074114397
2257	0.120602943
2259	0.159572959
2262	0.141119689
2274	0.079770923
2278	0.074916042
2281	0.102426715
2286	0.069402948
2288	0.096692681
2291	0.079069905
2297	0.045634005
2298	0.062923364
2300	0.10842178
2303	0.151749954
2306	0.080430441
2307	0.044241592
2308	0.108045198
2317	0.119133823
2318	0.026154252
2319	0.051580336
2320	0.135929167
2322	0.131492615
2324	0.09277872
2327	0.047168825
2332	0.085885428
2334	0.100766562
2335	0.085928522
2336	0.059387565
2337	0.142257616
2345	0.030825229
2354	0.08698488
2359	0.171320796
2367	0.114721209
2368	0.135986373
2371	0.134171024
2375	0.053450137
2378	0.069697134
2382	0.075201504
2385	0.038849059
2388	0.152151659
2389	0.121396422
2390	0.097959898
2392	0.044935569
2400	0.096218079
2402	0.163572386
2404	0.014919807
2406	0.084045731
2411	0.081009768
2416	0.057890877
2424	0.113290191
2425	0.155380517
2426	0.128227085
2430	0.04583123
2433	0.039003942
2436	0.044716869
2444	0.085143507
2446	0.069060855
2450	0.097566821
2451	0.036495388
2452	0.027282989
2453	0.01926687
2455	0.031490881
2457	0.056306917
2460	0.163240671
2463	0.117100716
2464	0.162564501
2466	0.036335815
2468	0.244386077
2475	0.055422556
2479	0.085085988
2481	0.172663912
2483	0.110680036
2485	0.086912923
2486	0.027092325
2488	0.046021819
2491	0.117251851
2493	0.064505786
2496	0.175235152
2498	0.122229062
2501	0.044219356
2502	0.109732024
2503	0.080721915
2513	0.086330749
2514	0.161676466
2516	0.159108952
2517	0.072351731
2518	0.095972955
2519	0.02330222
2522	0.134768263
2523	0.104297079
2525	0.068631828
2528	0.043269485
2530	0.074710675
2532	0.025033245
2534	0.0378436
2543	0.049295947
2544	0.037070662
2547	0.053553943
2549	0.090437599
2551	0.042916805
2553	0.121795416
2555	0.218269005
2556	0.159712851
2559	0.031519428
2565	0.035650671
2566	0.083773218
2570	0.064399034
2573	0.070652135
2576	0.116392277
2578	0.072104059
2579	0.105012901
2583	0.088727415
2587	0.052161615
2590	0.091805078
2591	0.082882047
2592	0.106622912
2593	0.063861243
2596	0.096535183
2600	0.103942789
2602	0.0717775
2606	0.131820723
2607	0.041681748
2609	0.0953748
2610	0.032724116
2615	0.055404928
2618	0.053927612
2619	0.022343135
2621	0.036292728
2623	0.044868451
2625	0.044433489
2626	0.046106238
2629	0.103178047
2630	0.094025351
2632	0.055337101
2635	0.062284797
2636	0.030951085
2638	0.064491667
2644	0.052664455
2647	0.120959051
2650	0.053431194
2651	0.065421522
2655	0.055201996
2661	0.019097438
2674	0.095036186
2678	0.191828355
2680	0.052748695
2685	0.071013205
2688	0.102130234
2690	0.067636967
2694	0.038970422
2699	0.074236006
2703	0.137865826
2707	0.066595912
2710	0.034559887
2719	0.041234389
2725	0.124283053
2735	0.066266581
2736	0.106764793
2737	0.049889836
2740	0.047980595
2741	0.050560921
2746	0.053729806
2748	0.176633075
2752	0.052112844
2753	0.02738438
2754	0.037925642
2755	0.069789357
2756	0.085649289
2757	0.121819437
2758	0.130437091
2766	0.103071593
2769	0.039354313
2775	0.126847789
2779	0.086222373
2789	0.101541907
2790	0.181676984
2791	0.178604051
2798	0.065633811
2803	0.039064199
2806	0.042754967
2808	0.058932703
2809	0.037881635
2810	0.080802538
2811	0.099705361
2815	0.087021001
2823	0.188763022
2824	0.081861719
2827	0.096475273
2829	0.031589229
2830	0.127158746
2832	0.134563044
2837	0.174389362
2844	0.056716215
2846	0.021695167
2849	0.159050703
2851	0.050894421
2856	0.096601307
2859	0.04665773
2862	0.167123199
2871	0.024519825
2872	0.027834425
2875	0.043881524
2878	0.078239754
2880	0.110472679
2881	0.084243692
2887	0.058985289
2890	0.134410083
2891	0.109283708
2893	0.019486671
2896	0.057290111
2898	0.056602225
2900	0.044524059
2903	0.073906444
2904	0.068258747
2905	0.061889917
2912	0.174939811
2917	0.035780564
2919	0.039563175
2920	0.026139483
2921	0.075291865
2925	0.063829087
2926	0.095819317
2931	0.056411695
2932	0.098098695
2936	0.184608102
2939	0.073995493
2940	0.095162749
2942	0.106246121
2949	0.066854812
2950	0.133974254
2955	0.10520494
2967	0.061557222
2972	0.038860869
2974	0.070757486
2975	0.047621969
2978	0.09344279
2979	0.088296361
2988	0.087004848
2994	0.06556502
2998	0.124936186
2999	0.107999898
