Step	Value
5	13.83859158
6	15.41359425
11	11.0229063
14	1.369143128
15	0.521863222
18	1.683021545
20	1.375204921
24	0.380335599
36	0.479528517
40	0.240726277
42	0.282829672
44	0.360278815
45	0.290565133
47	0.664972126
53	0.268608421
54	0.224296138
55	0.323980898
56	0.511987805
57	0.487017184
65	0.653697252
68	0.730539083
71	0.729377329
72	0.813049495
73	0.979720592
74	1.046680927
79	0.543114722
87	1.512963653
88	2.026709318
94	0.885099232
102	1.517756462
105	1.212029576
106	1.368680954
113	1.8179003
116	1.137352824
118	0.757457078
126	1.283157349
129	1.191209435
130	1.253683805
139	0.76989603
141	0.550447404
142	0.626984179
143	0.443919092
150	0.714391232
155	1.183614612
157	1.133697391
158	1.132047176
162	1.214060664
167	1.22791779
168	1.048232436
171	0.920142353
177	0.874660432
178	0.848810852
180	0.858770549
183	0.896229446
185	0.986232758
186	1.097963333
188	1.199750185
190	0.952878952
191	1.168782711
198	1.551795602
206	2.155151367
207	1.844803214
208	1.592414498
212	1.049578786
222	1.579486489
223	1.263798356
225	1.752455115
229	1.088116527
232	1.317229271
233	1.378036499
234	1.213597894
237	1.064172626
249	1.974220276
255	1.182335258
258	1.069527864
260	1.101961255
261	1.069519639
263	1.094848633
267	1.062045932
271	0.733071148
273	1.497160316
278	2.755608797
292	1.650141835
297	1.304478049
298	1.264130592
302	2.407247305
303	2.592450857
307	2.194622517
308	1.89293611
310	2.690932512
313	2.635239601
318	1.855657935
319	1.085596681
320	0.98993659
325	0.84670943
326	0.758216381
327	0.649654567
330	1.148015738
339	1.018100381
341	0.656861842
347	2.158441305
353	0.076188095
354	0.326265961
360	1.36487782
363	1.695827007
367	1.806713462
371	0.846911669
373	2.364744186
377	1.31726706
378	0.834732831
379	1.600978374
381	1.189725399
386	0.813999593
391	1.388361573
392	1.755362511
393	1.029687285
408	2.941544294
415	2.438818932
421	2.296986341
422	2.186809301
424	1.183172464
426	1.697709441
430	1.120712638
439	1.264310479
441	1.22647953
442	1.407948136
445	0.583445549
451	0.224582449
459	0.224913955
460	0.556124449
463	0.39966324
464	0.399935871
473	2.572540522
