Step	Value
5	2.930845261
6	1.728708863
11	0.547786474
14	0.611718118
15	0.684193432
18	0.313613623
20	0.310874254
24	0.10536319
36	0.326503038
40	0.118815064
42	0.116729222
44	0.052305907
45	0.066326566
47	0.135987476
53	0.163291499
54	0.169766888
55	0.286576062
56	0.080969475
57	0.107675441
65	0.597082078
68	0.20779644
71	0.131929755
72	0.285057992
73	0.216917813
74	0.314224094
79	0.102967806
87	0.750283718
88	0.602211535
94	0.387269646
102	0.193680525
105	0.121586002
106	0.040242091
113	0.053029347
116	0.25129661
118	0.200370744
126	0.294244856
129	0.161186114
130	0.096545793
139	0.037340838
141	0.680240631
142	0.544466913
143	0.173780397
150	0.329336584
155	0.222951055
157	0.040889487
158	0.051973194
162	0.146117225
167	0.155178711
168	0.680572569
171	0.082090497
177	0.144432917
178	0.224012896
180	0.283407688
183	0.649291456
185	0.260297358
186	0.296904504
188	0.055344302
190	0.198738888
191	0.076410823
198	0.048254695
206	0.201778874
207	0.235527948
208	0.074020453
212	0.088523448
222	0.012293567
223	0.105982959
225	0.117643781
229	0.088623397
232	0.120621406
233	0.349138111
234	0.186634421
237	0.152565941
249	0.711113214
255	0.031678647
258	0.140177622
260	0.072540499
261	0.219069049
263	0.144464836
267	0.237236306
271	0.177980304
273	0.169482827
278	0.059721202
292	0.034627017
297	0.101211578
298	0.187113166
302	0.0279695
303	0.149182841
307	0.161728427
308	0.052171875
310	0.018039204
313	0.106003396
318	0.045623679
319	0.063991301
320	0.518579662
325	0.210622475
326	0.261999816
327	0.084326148
330	0.175498545
339	0.375537634
341	0.090570688
347	0.046077818
353	0.08635179
354	0.036036447
360	0.025416678
363	0.044566389
367	0.086546861
371	0.20366545
373	0.211545825
377	0.041648179
378	0.203553006
379	0.069861948
381	0.199056461
386	0.126217484
391	0.043554053
392	0.012863782
393	0.043985497
408	0.073143028
415	0.063427888
421	0.186956048
422	0.039287761
424	0.007192744
426	0.163533136
430	0.102646805
439	0.032985169
441	0.198983788
442	0.119355641
445	0.131491244
451	0.007876636
459	0.071975403
460	0.140616551
463	0.050036784
464	0.028877124
473	0.169929937
474	0.036628351
485	0.047654063
488	0.019678606
489	0.069739498
491	0.025649494
493	0.071054429
507	0.009291925
512	0.02434559
514	0.046780556
517	0.086556554
519	0.025781734
524	0.015975982
525	0.113019742
531	0.026872829
533	0.021197071
534	0.007308522
536	0.029113358
537	0.158574745
540	0.103290193
542	0.242330492
547	0.033513755
548	0.102120899
557	0.082039975
559	0.011238907
563	0.054736715
564	0.082924433
565	0.055360604
569	0.113365807
573	0.006775588
574	0.051692575
577	0.028858723
579	0.085828185
580	0.062154055
581	0.029597411
582	0.025851866
583	0.028837914
584	0.033648781
586	0.024469465
587	0.116754591
592	0.03950204
593	0.010461599
597	0.041660059
600	0.009399086
602	0.055217359
608	0.069520392
610	0.017965183
615	0.048290718
619	0.176267192
620	0.078441851
622	0.068386659
634	0.03275736
641	0.120092832
642	0.01310625
644	0.041386381
645	0.051698565
646	0.013120499
647	0.008925392
649	0.050220788
652	0.110738061
656	0.013983441
657	0.072548486
661	0.033899654
664	0.007334796
668	0.05115677
671	0.095684208
672	0.248444542
673	0.007287555
674	0.060162831
675	0.040814821
677	0.220016062
678	0.122656167
679	0.06486129
682	0.061772149
683	0.047997665
684	0.011778115
686	0.008899018
688	0.032095101
689	0.1171939
696	0.10609635
699	0.029877597
703	0.034471635
706	0.066738933
708	0.016276231
710	0.027724048
714	0.054047436
718	0.031957958
721	0.024287203
722	0.014689551
723	0.064449415
724	0.082738735
730	0.102621369
736	0.198507741
738	0.070994139
739	0.02642802
743	0.124250524
746	0.110683881
747	0.034688052
750	0.116919912
751	0.097789757
752	0.044891629
754	0.049381644
756	0.05317593
762	0.084079109
765	0.015715653
766	0.020982953
769	0.103807248
770	0.091430299
771	0.041412562
773	0.080127038
774	0.041781858
780	0.017563432
784	0.031968534
785	0.028400237
787	0.024563432
789	0.021107217
791	0.032495808
792	0.041509524
793	0.023150166
794	0.028392881
795	0.066517711
798	0.102154501
800	0.020763028
802	0.061587889
805	0.200292945
807	0.169093356
808	0.0227935
809	0.035696421
815	0.039383553
816	0.049042504
818	0.011147514
821	0.09605667
825	0.026321838
828	0.055001546
831	0.046491355
832	0.030139556
834	0.012747618
836	0.026574664
838	0.0288288
843	0.013005108
846	0.020594012
848	0.047590937
863	0.101412684
867	0.0713998
869	0.11170315
870	0.023642017
874	0.0447242
876	0.031030426
877	0.154537275
880	0.024318159
882	0.005180624
884	0.008695349
887	0.021962574
889	0.039910477
890	0.046513479
892	0.027630774
896	0.031424973
900	0.05791603
907	0.094405912
908	0.052425131
909	0.004067474
910	0.032181699
912	0.0260657
915	0.020885622
916	0.019363899
917	0.106672339
920	0.08685559
921	0.035223458
922	0.205815032
923	0.052397165
931	0.036134183
932	0.082061701
935	0.022605807
942	0.040936153
945	0.128120497
953	0.076202966
954	0.024629347
956	0.077004038
957	0.028122067
958	0.028147414
961	0.014949556
962	0.016314106
964	0.022314409
966	0.092450202
971	0.005170912
972	0.005344675
976	0.016658064
977	0.050491463
978	0.010221054
979	0.096769892
982	0.004561726
983	0.01983895
984	0.005283485
987	0.046306368
988	0.025150673
996	0.003978723
1000	0.012041215
1002	0.137523815
1004	0.009274755
1005	0.028170014
1008	0.011217433
1011	0.007317537
1012	0.050333768
1013	0.067242771
1014	0.010151412
1017	0.044388145
1025	0.116958104
1027	0.08636906
1029	0.010042728
1031	0.086339928
1032	0.025591305
1035	0.007874987
1037	0.043605182
1039	0.024028009
1044	0.035445902
1051	0.025257697
1052	0.003750059
1055	0.014160474
1057	0.013425942
1063	0.022423245
1064	0.02654261
1066	0.034457047
1068	0.145300642
1072	0.032041665
1076	0.006871781
1078	0.031677675
1083	0.019709624
1084	0.040517278
1085	0.049288303
1092	0.014501584
1093	0.025276363
1099	0.037294868
1103	0.056885
1104	0.033984628
1105	0.056979161
1114	0.035879027
1116	0.020855635
1119	0.025601342
1125	0.064823993
1126	0.017992981
1130	0.013650402
1133	0.02211157
1134	0.012921974
1135	0.028073309
1138	0.008281577
1149	0.01358592
1152	0.036217626
1155	0.023977675
1156	0.077788644
1157	0.014707233
1160	0.011671051
1161	0.020546637
1162	0.027063409
1177	0.026984753
1180	0.100310087
1182	0.024048762
1183	0.123406805
1185	0.013096743
1186	0.014571429
1189	0.038312975
1192	0.146969512
1193	0.015233487
1195	0.092061199
1197	0.128139734
1199	0.0271047
1201	0.00793273
1204	0.020031925
1206	0.101713233
1208	0.027876502
1210	0.053763825
1212	0.023429982
1214	0.043569058
1224	0.033922315
1228	0.036570698
1232	0.061224628
1233	0.042781185
1234	0.012795513
1236	0.016784377
1239	0.013639678
1242	0.039963353
1244	0.075446822
1247	0.012229629
1253	0.027324013
1255	0.076169319
1257	0.017412471
1258	0.068594217
1261	0.123180963
1262	0.050984483
1263	0.077931501
1266	0.023131466
1274	0.058319222
1279	0.002222936
1281	0.006667618
1287	0.019052079
1291	0.012836799
1292	0.031782564
1293	0.049734782
1294	0.005868795
1300	0.034859862
1303	0.047759067
1310	0.009840365
1312	0.012183327
1315	0.011712958
1316	0.034543499
1319	0.026208803
1320	0.014575385
1325	0.043030281
1326	0.061702192
1327	0.009799932
1330	0.016972804
1333	0.006659808
1334	0.017011
1335	0.007387155
1336	0.015682662
1337	0.06973464
1343	0.028300233
1349	0.05848838
1355	0.052702785
1359	0.072697915
1361	0.065196313
1366	0.044389665
1370	0.040175494
1377	0.049289655
1379	0.065300234
1382	0.023240425
1384	0.064902045
1385	0.010817041
1388	0.036309544
1389	0.013103556
1391	0.017362485
1392	0.049326569
1395	0.025446847
1412	0.047988381
1413	0.047018822
1414	0.043048251
1415	0.015033376
1419	0.040262334
1422	0.037843574
1426	0.086781509
1427	0.054885477
1428	0.088183612
1432	0.022588512
1433	0.040376585
1434	0.036189158
1436	0.009967224
1438	0.010342148
1440	0.054728463
1442	0.032790381
1450	0.022411073
1455	0.032075506
1456	0.048577368
1465	0.028910903
1466	0.038308565
1477	0.022055075
1482	0.016380137
1485	0.072771303
1486	0.032731462
1489	0.023907101
1491	0.035465077
1492	0.034639616
1500	0.099823952
1501	0.015583799
1502	0.008588529
1503	0.034899686
1506	0.03993012
1508	0.076647915
1509	0.021862863
1510	0.090743542
1518	0.005553951
1523	0.124010332
1524	0.083914667
1527	0.056822438
1534	0.047043111
1536	0.042874426
1546	0.016685894
1551	0.032653444
1552	0.014845337
1554	0.015000883
1555	0.014535088
1561	0.030250499
1562	0.042950626
1568	0.015028067
1569	0.026353264
1578	0.033212509
1582	0.023280978
1584	0.031429943
1588	0.040514212
1597	0.011756563
1599	0.069551803
1602	0.02795732
1604	0.018566817
1605	0.040066436
1610	0.017701993
1613	0.004744369
1618	0.012688886
1620	0.148459896
1624	0.106975235
1626	0.04113185
1627	0.015058342
1628	0.017495213
1630	0.104323171
1632	0.022328774
1637	0.011664403
1640	0.017731717
1642	0.016946003
1645	0.030348366
1648	0.043518957
1652	0.007061219
1655	0.025745571
1659	0.015266852
1660	0.003601329
1661	0.063234918
1668	0.084621072
1670	0.02940256
1672	0.024860235
1675	0.010726303
1676	0.066141389
1682	0.00862331
1683	0.010968023
1687	0.041349504
1691	0.012687047
1694	0.018358491
1695	0.108757131
1696	0.033000965
1697	0.038630094
1699	0.015739972
1702	0.060009614
1709	0.128971353
1710	0.026134474
1715	0.010980292
1717	0.034008484
1718	0.026476221
1719	0.05732384
1728	0.076779097
1732	0.034234274
1733	0.005335592
1734	0.010444424
1735	0.02849756
1737	0.078152992
1742	0.013030292
1743	0.016975813
1745	0.071702398
1746	0.052775029
1747	0.068908177
1750	0.025691206
1752	0.022787141
1753	0.00575965
1754	0.052206535
1763	0.006144172
1766	0.011174685
1775	0.070991404
1781	0.015596268
1782	0.008047211
1788	0.038711172
1789	0.034248695
1790	0.027190914
1792	0.022064662
1798	0.024755513
1804	0.068892308
1805	0.040997475
1813	0.016375262
1814	0.011873855
1817	0.068512
1820	0.025915772
1824	0.021455975
1826	0.024106404
1830	0.015043681
1836	0.016896812
1840	0.052754123
1841	0.044859409
1844	0.034975223
1846	0.016443267
1849	0.020341543
1853	0.042495649
1855	0.052078482
1857	0.08571633
1858	0.033274237
1859	0.059051663
1866	0.035511386
1868	0.020261498
1869	0.0246228
1875	0.010889061
1876	0.02075842
1877	0.008076933
1879	0.013552313
1881	0.105198763
1893	0.047237199
1902	0.052905072
1906	0.054571163
1911	0.03998233
1912	0.09662012
1917	0.048745617
1918	0.025186816
1919	0.106844753
1923	0.011251852
1924	0.037861537
1930	0.008831936
1934	0.013176396
1935	0.006956281
1936	0.017907366
1938	0.009177767
1939	0.012273245
1944	0.083363958
1947	0.026937671
1949	0.027932242
1952	0.03850833
1955	0.040298488
1958	0.022340229
1960	0.017372869
1966	0.023737876
1967	0.007523532
1969	0.020976072
1971	0.026139131
1980	0.037487403
1981	0.015854081
1982	0.023099422
1983	0.005445575
1997	0.044762492
2001	0.038674857
2005	0.116537876
2006	0.051580619
2009	0.012109585
2010	0.029595008
2013	0.009438396
2015	0.020511962
2017	0.045874331
2022	0.038938057
2025	0.054906595
2027	0.018645197
2028	0.083762966
2030	0.060165402
2033	0.014165126
2036	0.01342196
2038	0.017826833
2041	0.023106506
2044	0.015744174
2045	0.021695241
2048	0.03507844
2051	0.004907907
2059	0.07956142
2060	0.136454418
2062	0.031392325
2067	0.033195842
2072	0.023265943
2073	0.030276334
2074	0.047717392
2076	0.017953424
2077	0.02311871
2079	0.032666728
2081	0.040359978
2084	0.047856331
2085	0.020046884
2089	0.036778163
2094	0.024229797
2096	0.004411216
2102	0.008191031
2103	0.026446214
2104	0.015496801
2105	0.051481426
2106	0.029741386
2109	0.048445374
2111	0.02372683
2114	0.061017375
2115	0.049324501
2118	0.016202359
2120	0.010361447
2122	0.03734206
2123	0.020477833
2124	0.04927073
2128	0.014806497
2132	0.025326436
2133	0.030462414
2134	0.028296582
2138	0.09899199
2139	0.060074944
2141	0.08027681
2142	0.00833882
2144	0.010033841
2145	0.021058435
2146	0.017257417
2148	0.019207729
2149	0.038173601
2151	0.049805492
2154	0.016147166
2156	0.030335968
2157	0.038814649
2163	0.01053946
2164	0.087469734
2165	0.011403975
2169	0.045216862
2171	0.02777713
2173	0.029650675
2177	0.026999762
2184	0.021573745
2187	0.020258898
2189	0.019406617
2191	0.029974818
2192	0.084394425
2196	0.025350437
2198	0.062561095
2199	0.019297184
2200	0.041503325
2203	0.018554358
2204	0.011680833
2207	0.004742984
2208	0.028404323
2211	0.016115461
2214	0.022738704
2218	0.013534836
2224	0.022149339
2225	0.022239117
2228	0.01889604
2229	0.052855998
2231	0.085392982
2233	0.020143865
2234	0.030246602
2236	0.042791758
2237	0.058789492
2239	0.050552189
2240	0.030674985
2241	0.038359817
2242	0.020841068
2244	0.026335051
2246	0.013995379
2247	0.01337187
2251	0.009621829
2252	0.010253426
2254	0.100382559
2257	0.194882438
2259	0.031980153
2262	0.074134149
2274	0.015314105
2278	0.012498277
2281	0.023180028
2286	0.010729543
2288	0.055000406
2291	0.025361098
2297	0.05038172
2298	0.029758854
2300	0.065605864
2303	0.099125423
2306	0.048538875
2307	0.043040529
2308	0.03483583
2317	0.030715762
2318	0.026716053
2319	0.008759161
2320	0.003623634
2322	0.0456657
2324	0.049454346
2327	0.010097452
2332	0.023645034
2334	0.011065151
2335	0.009061863
2336	0.004198503
2337	0.005573253
2345	0.038026221
2354	0.041329805
2359	0.021554863
2367	0.016127413
2368	0.012612351
2371	0.059908364
2375	0.024217345
2378	0.015921852
2382	0.03748348
2385	0.028299978
2388	0.009690962
2389	0.013103232
2390	0.012826297
2392	0.031278647
2400	0.026142096
2402	0.007773381
2404	0.018144395
2406	0.016490204
2411	0.035599429
2416	0.013291149
2424	0.005459575
2425	0.021972341
2426	0.037947204
2430	0.016086018
2433	0.050689917
2436	0.007290839
2444	0.050838232
2446	0.011122464
2450	0.009751364
2451	0.010594035
2452	0.081983164
2453	0.026223466
2455	0.023219191
2457	0.01624419
2460	0.018846853
2463	0.014730795
2464	0.070773996
2466	0.017201154
2468	0.015416746
2475	0.044436038
2479	0.00254088
2481	0.028178716
2483	0.011303964
2485	0.014915115
2486	0.029849434
2488	0.016572854
2491	0.02510185
2493	0.061546426
2496	0.083827317
2498	0.041840702
2501	0.036551848
2502	0.108191609
2503	0.016126847
2513	0.045237273
2514	0.031688772
2516	0.056729253
2517	0.045941409
2518	0.01222007
2519	0.007106284
2522	0.003133998
2523	0.011893307
2525	0.038960971
2528	0.05848984
2530	0.025881499
2532	0.006468136
2534	0.022785986
2543	0.006317798
2544	0.008864895
2547	0.031443786
2549	0.033311751
2551	0.022663729
2553	0.032231897
2555	0.034709882
2556	0.020378595
2559	0.059406355
2565	0.024592122
2566	0.074014179
2570	0.016391365
2573	0.069187254
2576	0.008682401
2578	0.019968996
2579	0.020276742
2583	0.048870485
2587	0.018079279
2590	0.022167198
2591	0.044943217
2592	0.022382639
2593	0.037049398
2596	0.00984814
2600	0.057222128
2602	0.05426525
2606	0.009506817
2607	0.03581002
2609	0.152417198
2610	0.014483991
2615	0.031264704
2618	0.054932147
2619	0.021035567
