Step	Value
5	6.898038864
6	3.782509565
11	3.00037694
14	1.92393744
15	1.043327808
18	0.099691533
20	0.113789983
24	0.604539812
36	0.2920672
40	0.338329911
42	0.369728804
44	0.284970552
45	0.250040919
47	0.177795574
53	0.178110316
54	0.151495352
55	0.169117928
56	0.174713328
57	0.137474254
65	0.102634788
68	0.127695546
71	0.148296699
72	0.188959047
73	0.223475978
74	0.260234267
79	0.323880047
87	0.230513379
88	0.239772841
94	0.155202955
102	0.337676138
105	0.417017668
106	0.510983407
113	0.306006283
116	0.072787344
118	0.098402999
126	0.287507772
129	0.2573829
130	0.280406415
139	0.237315416
141	0.208594084
142	0.166165173
143	0.156920865
150	0.134112999
155	0.208565474
157	0.299091339
158	0.284308791
162	0.241489768
167	0.212627515
168	0.195962235
171	0.144870922
177	0.129805729
178	0.157614425
180	0.216557443
183	0.191649675
185	0.178401664
186	0.165446162
188	0.115011185
190	0.131652951
191	0.136583939
198	0.137578845
206	0.079825945
207	0.072295688
208	0.072944917
212	0.152384639
222	0.173376963
223	0.165794089
225	0.157299161
229	0.235026836
232	0.259440273
233	0.27379337
234	0.18393676
237	0.250350624
249	0.111877345
255	0.180702403
258	0.095467679
260	0.092636473
261	0.107800014
263	0.125950739
267	0.231055066
271	0.081720166
273	0.076406933
278	0.088460542
292	0.188371122
297	0.184320331
298	0.119492956
302	0.094169237
303	0.137200817
307	0.297837615
308	0.319104105
310	0.43645525
313	0.809124947
318	0.184398606
319	0.225842878
320	0.171968594
325	0.074417613
326	0.072575681
327	0.115165204
330	0.176335096
339	0.093225576
341	0.106724121
347	0.078183047
353	0.043058619
354	0.086977005
360	0.146001235
363	0.108501919
367	0.125570998
371	0.043266866
373	0.064989544
377	0.046949726
378	0.086832978
379	0.090506695
381	0.184262231
386	0.225860789
391	0.134026036
392	0.246023968
393	0.208780661
408	0.337305307
415	0.073260941
421	0.103726782
422	0.279033929
424	0.258886933
426	0.179345593
430	0.083270811
439	0.20237875
441	0.185772657
442	0.361980826
445	0.128676668
451	0.116770171
459	0.050695311
460	0.059366971
463	0.073377796
464	0.082472093
473	0.15528594
474	0.189516485
485	0.081009626
488	0.02122418
489	0.037729669
491	0.030117057
493	0.034050532
507	0.075801142
512	0.06038937
514	0.191068113
517	0.229180694
519	0.044371236
524	0.029459381
525	0.054752778
531	0.090726472
533	0.090466268
534	0.117470525
536	0.266803026
537	0.251794428
540	0.327189296
542	0.019159066
547	0.101253532
548	0.01452896
557	0.190944776
559	0.178258881
563	0.053277027
564	0.049238633
565	0.440875739
569	0.117330968
573	0.065839536
574	0.08819636
577	0.238671616
579	0.304765433
580	0.349497676
581	0.24445565
582	0.212924778
583	0.202339962
584	0.133365393
586	0.048427075
587	0.174104571
592	0.171912238
593	0.122929454
597	0.493314117
600	0.269834816
602	0.131231561
608	0.355333
610	0.112050809
615	0.11749243
619	0.135818586
620	0.079940028
622	0.036249727
634	0.269024998
641	0.470173508
642	0.264644235
644	0.120536841
645	0.161358103
646	0.123946637
647	0.239510596
649	0.279465705
652	0.210215941
656	0.169421241
657	0.037074164
661	0.047709983
664	0.125001788
668	0.096146584
671	0.257326007
672	0.249701932
673	0.247271776
674	0.179630175
675	0.134605095
677	0.057313491
678	0.027698955
679	0.013761994
682	0.048050348
683	0.045369674
684	0.20246242
686	0.20612447
688	0.217243671
689	0.157876715
696	0.204037711
699	0.20272769
703	0.100650191
706	0.308065891
708	0.2286309
710	0.1031003
714	0.104072593
718	0.144650474
721	0.102152251
722	0.123322837
723	0.204659641
724	0.058764756
730	0.087974556
736	0.06289389
738	0.176122025
739	0.39274922
743	0.271845102
746	0.113341153
747	0.174364209
750	0.402578264
751	0.71851927
752	0.268858373
754	0.338468462
756	0.461838096
762	0.084461205
765	0.052090209
766	0.032923445
769	0.178870425
770	0.303872913
771	0.346396208
773	0.231568098
774	0.207965657
780	0.099444889
784	0.127528131
785	0.242010832
787	0.064783126
789	0.279101193
791	0.571685374
792	0.373526961
793	0.17312412
794	0.115636803
795	0.113083668
798	0.13456282
800	0.092678227
802	0.187056914
805	0.145316318
807	0.07674513
808	0.12265756
809	0.139747366
815	0.116756082
816	0.068966769
818	0.039951418
821	0.037432581
825	0.084545255
828	0.10450381
831	0.100490786
832	0.040298145
834	0.189956233
836	0.133771703
838	0.036246013
843	0.057811122
846	0.153823793
848	0.057872359
863	0.090490699
867	0.069306523
869	0.091211043
870	0.078045428
874	0.153818801
876	0.113651417
877	0.052439686
880	0.119298585
882	0.238170505
884	0.197225764
887	0.025637692
889	0.031630706
890	0.080645688
892	0.051128346
896	0.020556159
900	0.130473435
907	0.360476106
908	0.159951434
909	0.159589455
910	0.179367974
912	0.031518232
915	0.048317134
916	0.06101948
917	0.074029267
920	0.042693496
921	0.048310507
922	0.036864121
923	0.021556035
931	0.043489188
932	0.040185247
935	0.053601027
942	0.117910825
945	0.046876192
953	0.009137791
954	0.012497929
956	0.028025299
957	0.011577424
958	0.057043344
961	0.130787134
962	0.103623278
964	0.031526577
966	0.055424217
971	0.022146588
972	0.017204709
976	0.110245921
977	0.159349784
978	0.254714459
979	0.2060339
982	0.054597065
983	0.059260029
984	0.057196606
987	0.193870679
988	0.114150904
996	0.030019769
1000	0.107855193
1002	0.096761443
1004	0.041957527
1005	0.074179687
1008	0.090094961
1011	0.095443062
1012	0.100561269
1013	0.095244788
1014	0.159203067
1017	0.097671233
1025	0.161968812
1027	0.038293213
1029	0.019173633
1031	0.035023939
1032	0.051609054
1035	0.032846436
1037	0.084379055
1039	0.065341495
1044	0.111245893
1051	0.041751966
1052	0.069427453
1055	0.053144347
1057	0.112448506
1063	0.282505065
1064	0.190567598
1066	0.330501199
1068	0.223499164
1072	0.22342205
1076	0.04814456
1078	0.050823063
1083	0.202359557
1084	0.130548388
1085	0.059358757
1092	0.029903973
1093	0.027011553
1099	0.290618956
1103	0.114994191
1104	0.33927086
1105	0.127735421
1114	0.081519224
1116	0.164562687
