Step	Value
5	-1.093604088
6	0.153626055
10	1.106001973
11	2.01570487
13	3.257861853
14	-0.72661376
15	-6.982504845
17	-3.801432371
18	-2.586295605
19	-0.76756376
20	0.165656149
24	-0.235548973
33	-1.084670067
34	-0.210968971
36	0.233368874
39	0.054114938
40	-0.346384406
42	0.186085224
44	-0.374104619
45	0.197835267
47	-0.907963753
49	-0.644812584
50	-0.695226669
53	0.042247295
54	-0.08865881
55	-0.170243263
56	-1.199178457
57	-0.065234184
60	-0.710429668
61	-0.564878941
63	-0.149935007
65	-0.565438271
66	-1.032096863
67	0.26196909
68	-1.206559181
71	-0.794734001
72	-0.711434841
73	-0.395202398
74	-0.42218554
76	-0.984539509
79	-0.034484863
84	-0.938544273
85	0.280419111
86	-0.336551666
87	0.439222813
88	-0.978288174
89	-0.705168962
94	-0.92863369
102	0.485781431
105	-0.632044077
106	-0.08095789
113	-0.975953102
116	-0.225034714
118	-1.168638468
119	-0.058496475
120	0.272245884
124	-1.168170929
125	0.355199307
126	-0.368080556
129	-0.596058846
130	-0.588249207
133	-0.119931221
137	-0.041398525
139	-0.145342827
141	-0.302038193
142	-0.505544662
143	-0.411623001
144	-0.323253155
148	-0.160794377
150	-0.027677774
153	0.109193206
154	-0.15489912
155	0.572485924
157	-0.228204727
158	-1.541196346
159	-0.677728653
162	0.666420937
164	0.418243885
165	-0.185407877
167	-0.255274773
168	0.841682673
171	-0.786812782
176	-0.340532303
177	-0.402580261
178	-1.085318565
180	-0.793315887
181	-0.562981486
183	-0.327084064
185	-1.106520176
186	-0.015292883
187	0.054309748
188	-0.316336155
190	-1.000775337
191	-0.532148123
198	-0.697271347
202	0.062057734
206	-0.728483677
207	-0.481836319
208	-1.170661926
212	-0.478273869
215	-0.442445278
218	-0.372923851
219	-0.489215374
222	-0.251932621
223	-0.119775891
225	-0.495324612
226	0.197817326
227	-0.143469989
229	-0.129685879
230	-0.981036186
232	-0.197220325
233	0.134175062
234	-0.041820049
237	-0.715014696
240	0.21838069
245	-0.439297676
247	-1.230064392
249	-0.422850609
250	-0.60292542
255	-0.690181017
258	0.108806431
259	-0.056256771
260	-0.583774567
261	-0.144109249
263	-0.181900263
267	-0.326823354
269	-0.32196188
271	-0.185696125
273	-0.090566635
278	-0.141733408
280	0.070605159
284	-0.098783493
289	-0.439483643
291	-0.113979459
292	-0.098424911
295	-0.236614227
297	-0.147415161
298	0.040674388
299	-0.3539505
301	-0.247113228
302	-0.009707451
303	-0.374974012
307	0.122214645
308	-0.310332775
310	-0.349366188
313	-0.040475808
317	-0.170644283
318	-0.21647644
319	-0.189520359
320	-0.092516422
322	-0.209569454
325	-0.019184113
326	-0.274683952
327	-0.12002039
330	-0.206341505
331	-0.310474396
333	-0.114044666
339	0.020171553
341	0.069145679
344	-0.025572658
