Step	Value
0	-18.7107811
1	-3.588599205
2	-3.055774212
3	-2.714646339
4	-2.007459641
5	-2.383415699
6	-2.932037354
7	-2.507211208
8	-3.028580189
9	-2.434752941
10	-1.619656086
11	-1.444423676
12	-1.207391739
13	-1.282550812
14	-1.851038933
15	-0.756696701
16	-1.481204987
17	-2.071138382
18	-2.161668777
19	0.211932182
20	-2.692626953
21	-1.517894745
22	-0.639584541
23	-0.385833919
24	-0.785449982
25	-0.969754219
26	-1.033638954
27	0.226301193
28	-1.127639771
29	1.48253727
30	-3.907572746
31	-2.109161377
32	0.262972832
33	-3.017885208
34	0.431916237
35	-2.11802578
36	0.256795883
37	-2.717329025
38	0.469766617
39	-4.65478611
40	-3.219798088
41	-2.387760162
42	-1.666151047
43	-1.154039383
44	0.118755341
45	-1.764807701
46	-0.234851837
47	-2.169848442
48	-0.401882172
49	-0.603279114
50	-0.366328239
51	-1.497328281
52	0.886598587
53	-1.142310143
54	-0.364595115
55	-0.924891472
56	0.714128971
57	-0.295780182
58	-0.243796349
59	-4.496361732
60	-0.203272343
61	-0.306758404
62	-5.59768486
63	-2.578269005
64	-0.195659637
65	-0.226332426
66	-1.775294304
67	0.190257072
68	-1.704378128
69	0.806736231
70	-1.22040081
71	-0.382136822
72	-0.31393671
73	-0.155617058
74	-1.622218132
75	-0.117592931
76	-0.415426254
77	-0.083101034
78	-0.175552368
79	-0.645952225
80	0.062320709
81	-1.242102146
82	-1.268104553
83	-0.582868576
84	-0.850234032
85	0.69884491
86	-1.257203102
87	-0.292920351
88	-1.146215439
89	-0.802014589
90	-0.747898102
91	0.265041113
92	-0.734815598
93	-1.242039442
94	0.14802742
95	-2.528299332
96	-0.68042469
97	-1.59280014
98	0.141326904
99	-2.964221001
100	0.288209796
101	-3.181703568
102	-0.274843901
103	0.237213135
104	-0.468806505
105	-1.327145576
106	-0.74211669
107	0.552953124
108	-0.417255402
109	-1.901353836
110	-0.096907854
111	-0.223875523
112	-0.844687462
113	0.348974347
114	-2.501813889
115	-0.375862122
116	-0.650899887
117	-1.290011406
118	-1.460448265
119	-0.128491312
120	-1.11137867
121	-0.688958645
122	-1.142946243
123	-0.662087917
124	-0.210231781
125	-0.06275823
126	-0.219970703
127	-0.403095126
128	-1.436795235
129	-0.404657364
130	-1.001907349
131	-1.872794151
132	-0.788826942
133	-0.079685688
134	-0.921222687
135	-0.10565567
136	-0.327589989
137	-0.220108032
138	-0.557350159
139	-0.31974411
140	-0.285996437
141	-1.630366325
142	-0.038134575
143	-0.215764999
144	-0.449918747
145	-0.568040848
146	-0.861804008
147	-1.120542526
148	-1.263021469
149	-0.294855118
150	-0.863378048
151	-1.164690971
152	-0.219856262
153	-1.467563629
154	-0.324893951
155	-0.209960938
156	-1.332591057
157	-0.060009956
158	-0.769936562
159	-1.267356873
160	-0.746806145
161	-1.481565475
162	-0.362477303
163	-0.813624382
164	-0.50151521
165	-1.855289459
166	-0.337501526
167	-0.137394905
168	-0.757266045
169	-3.48449707
170	-0.18268013
171	-1.024558783
172	-0.349410057
173	0.421115398
174	-2.964607239
175	0.679620743
176	-2.52265358
177	-0.623176575
178	0.249831676
179	-2.580759048
180	-0.450620174
181	-1.175888062
182	0.078998804
183	-1.040835381
184	-1.152842999
185	1.153339386
186	-0.463461876
187	1.392029762
188	-0.248775959
189	-2.702949047
190	-0.522211552
191	-0.864626408
192	0.420442581
193	-0.724802017
194	-2.577227592
195	-0.654922962
196	-0.659477234
197	-1.372055054
198	-0.217489243
199	-0.032249451
200	0.593443871
201	0.136957169
202	-1.729480743
203	-0.047437668
204	0.204740524
205	0.120213509
206	-3.299634933
207	-0.112135887
208	-0.25633049
209	0.648032665
210	0.982771397
211	0.10849224
212	-0.332858086
213	-1.876613617
214	-0.824302673
215	0.117366791
216	0.405691862
217	-0.647127628
218	-0.026519775
219	-0.010972023
220	-0.318130016
221	-0.851889133
222	-1.205853462
223	-0.517098784
224	1.337574959
225	0.335012197
226	-1.319581985
227	-1.116004109
228	-0.687438011
229	-0.345901966
230	-3.381046295
231	-0.36204946
232	1.15227747
233	-0.684470654
234	0.786732674
235	-1.50032258
236	-0.976761341
237	-0.322684646
238	1.079269886
239	-0.850242972
240	-0.542723179
241	0.439121366
242	-0.883923531
243	-1.063092232
244	-0.523229599
245	-0.060168266
246	0.007258415
247	-1.271789551
248	-0.407759666
249	-0.778242111
250	-0.570026398
251	0.214783669
252	0.283239365
253	-0.881599426
254	-0.134887695
255	0.017847061
256	-0.430429459
257	-0.127180099
258	0.140330315
