Step	Value
5	-2.655059338
6	-0.90074563
10	2.132332563
11	1.077782869
13	-4.242119789
14	-3.968575716
15	-1.508539915
17	0.070982933
18	0.52410841
19	-1.271686554
20	-0.552468538
24	-0.991155863
33	-1.008521795
34	-0.865258217
36	-0.328503311
39	-0.130879402
40	-0.263298035
42	-0.121434212
44	-0.800673008
45	-0.902724743
47	-0.85905695
49	-0.979501724
50	-0.700176716
53	-1.143174171
54	-0.839542627
55	-0.566989422
56	-0.363410473
57	-1.508181095
60	-0.672024727
61	-0.77264297
63	-0.657490492
65	-1.554805279
66	-0.504004478
67	-0.556633949
68	-0.353372455
71	-0.275752187
72	-1.691215992
73	-0.723793507
74	-0.894114017
76	-1.467721939
79	-0.427371144
84	-0.376188278
85	-0.887879848
86	-0.311965704
87	-0.492653847
88	-0.16072762
89	-0.60103488
94	-1.965385914
102	-0.586592197
105	-0.368684769
106	-0.507369161
113	-0.75637722
116	-1.181156635
118	-0.858757019
119	-0.317666292
120	-0.079071999
124	-0.459499836
125	-1.24638176
126	-0.879980564
129	-0.173837423
130	-1.450809002
133	-0.078400135
137	-0.383477688
139	-0.992946148
141	-0.448376656
142	-1.21936512
143	-0.626969814
144	-1.610347748
148	-0.453256965
150	-1.110486507
153	-0.417079449
154	-0.922803879
155	-0.380506516
157	-0.740385532
158	-0.633472443
159	-0.586855412
162	-1.461094856
164	-0.948063374
165	-0.556192636
167	-0.215143681
168	-1.849316597
171	-0.179348946
176	-1.424295902
177	0.186983585
178	-1.132658958
180	-0.83177948
181	0.203035355
183	-0.177913666
185	-0.112680912
186	-0.377859116
187	-1.77965641
188	-0.354536533
190	-0.75279808
191	-0.991949081
198	-0.48961544
202	-0.148944139
206	-0.933677197
207	-0.391439915
208	-1.644024849
212	-1.508151531
215	0.00020504
218	-1.394121647
219	0.01577282
222	-0.475334167
223	0.121392488
225	-0.179881096
226	-0.11583209
227	0.391150475
229	0.077251911
230	-0.251502991
232	-0.399034023
233	-0.233771563
234	-0.112375736
237	-0.715319395
240	-0.753950834
245	-0.959976196
247	-0.871170044
249	-0.516736031
250	0.105951071
255	-0.606259823
258	-0.701889992
259	0.139252186
260	-0.388838768
261	-0.669873476
263	-0.420645714
267	-0.957576752
269	-1.180840492
