Step	Value
0	16.79740524
1	0.348140866
2	0.184538066
3	0.149286106
4	0.132909894
5	0.152759194
6	0.138742402
7	0.1313871
8	0.108591475
9	0.089740053
10	0.08543887
11	0.117744468
12	0.10143245
13	0.080817759
14	0.070580639
15	0.084607981
16	0.069516793
17	0.076097377
18	0.067441225
19	0.062210515
20	0.074253276
21	0.068313599
22	0.064129211
23	0.066815309
24	0.066879734
25	0.069855571
26	0.061549801
27	0.04959508
28	0.06246382
29	0.051119953
30	0.055251345
31	0.049953636
32	0.051863592
33	0.052754886
34	0.054759093
35	0.056472506
36	0.056814272
37	0.048483405
38	0.056612529
39	0.048080195
40	0.041975379
41	0.043521006
42	0.054742608
43	0.063398644
44	0.056692287
45	0.056531012
46	0.051558919
47	0.047809746
48	0.043360922
49	0.054376949
50	0.045474503
51	0.05160166
52	0.058752224
53	0.03912124
54	0.054062441
55	0.049900647
56	0.048759677
57	0.043300681
58	0.044357382
59	0.038211644
60	0.053620283
61	0.052016187
62	0.046712272
63	0.036139984
64	0.039765429
65	0.048135567
66	0.052563798
67	0.051265545
68	0.035763804
69	0.03758543
70	0.040754557
71	0.034946699
72	0.037030771
73	0.042839684
74	0.034085914
75	0.033911359
76	0.035009179
77	0.043139461
78	0.043159913
79	0.03868331
80	0.031554963
81	0.038255434
82	0.034187939
83	0.041263778
84	0.03259946
85	0.036380265
86	0.036164876
87	0.032998994
88	0.035054728
89	0.042465609
90	0.039492358
91	0.03828958
92	0.039685711
93	0.037920684
94	0.029524779
95	0.030699639
96	0.032102302
97	0.030150108
98	0.032882381
99	0.031169135
100	0.025715753
101	0.033249382
102	0.0315735
103	0.033552829
104	0.032254286
105	0.035264645
106	0.027839014
107	0.031503987
108	0.032626811
109	0.029042775
110	0.025368117
111	0.028115664
112	0.027404252
113	0.048912816
114	0.040135339
115	0.028184913
116	0.028963976
117	0.028559726
118	0.0342623
119	0.023771964
120	0.0259804
121	0.026236586
122	0.031819914
123	0.03589952
124	0.032697372
125	0.040711451
126	0.036067747
127	0.028455634
128	0.02965063
129	0.03076371
130	0.037941467
131	0.033748288
132	0.030744778
133	0.027706228
134	0.027847528
135	0.025113508
136	0.021641282
137	0.022610944
138	0.028899813
139	0.028796336
140	0.024272596
141	0.02628601
142	0.025662566
143	0.02417005
144	0.025013978
145	0.023835542
146	0.020470148
147	0.02837448
148	0.032258596
149	0.027510976
150	0.036364511
151	0.021788312
152	0.029899871
153	0.019548124
154	0.027626522
155	0.027713787
156	0.02066035
157	0.027920146
158	0.02300182
159	0.024393732
160	0.023273839
161	0.023033559
162	0.026016898
163	0.020501969
164	0.02831446
165	0.019398453
166	0.024484456
167	0.023859346
168	0.024105499
169	0.025705753
170	0.024172606
171	0.031194605
172	0.027065514
173	0.031190759
174	0.023108261
175	0.021638339
176	0.029454553
177	0.025283573
178	0.023427384
179	0.022061871
180	0.024182476
181	0.021005025
182	0.025568625
183	0.024377741
184	0.022520117
185	0.023385998
186	0.024904396
187	0.021100167
188	0.021069618
189	0.019697942
190	0.020196851
191	0.026669441
192	0.02490931
193	0.02345388
194	0.026337359
195	0.020036416
196	0.025805565
197	0.021137025
198	0.023980215
199	0.027267994
200	0.025016403
201	0.026360072
202	0.024118137
203	0.020119384
204	0.021141617
205	0.024051946
206	0.024225129
207	0.019011853
208	0.018983051
209	0.017790843
210	0.021030638
211	0.016816342
212	0.022179337
213	0.020794241
214	0.02425527
215	0.018713236
216	0.020728752
217	0.025195086
218	0.021119157
219	0.020587901
220	0.021406362
221	0.021597771
222	0.023566468
223	0.022451742
224	0.019285105
225	0.024006223
226	0.0217684
227	0.019834694
228	0.016003646
229	0.019338472
230	0.015294464
231	0.01751519
232	0.019394942
233	0.013219535
234	0.016206417
235	0.020169724
236	0.018860118
237	0.017038783
238	0.024043947
239	0.0187815
240	0.017735682
241	0.017006502
242	0.01842034
243	0.018045565
244	0.021261187
245	0.021239972
246	0.015762676
247	0.016217742
248	0.016021563
249	0.016341047
250	0.016612902
251	0.016684962
252	0.020377859
253	0.023633275
254	0.01984239
255	0.022540292
256	0.01585182
257	0.019761998
258	0.018426901
259	0.015699072
260	0.015781241
261	0.019502435
262	0.015955674
263	0.017930349
264	0.01687506
265	0.01822051
266	0.016140448
267	0.016573872
268	0.026190693
269	0.016477335
270	0.030136194
271	0.023331665
272	0.018601738
273	0.015951289
274	0.017251538
275	0.018019045
276	0.014623836
277	0.01785191
278	0.016462691
279	0.015151305
280	0.020007158
281	0.021141922
282	0.018322393
283	0.017327502
284	0.019045928
285	0.019051984
286	0.016533503
287	0.020865671
288	0.023653179
289	0.018378928
290	0.016593765
291	0.020256095
