Step	Value
0	44.69861603
1	38.2603035
2	25.38492966
3	13.02704048
4	4.001748085
5	1.024098039
6	0.589716136
7	0.39018026
8	0.29786095
9	0.386315227
10	0.296915591
11	0.248117983
12	0.249701276
13	0.164445773
14	0.200734377
15	0.222780034
16	0.180143088
17	0.237357184
18	0.143121898
19	0.155032784
20	0.212916136
21	0.175515935
22	0.167276457
23	0.177829206
24	0.173246011
25	0.143080398
26	0.147083297
27	0.167370483
28	0.159175634
29	0.13161625
30	0.124541953
31	0.169142887
32	0.134916708
33	0.137908861
34	0.135950908
35	0.140406564
36	0.127374828
37	0.16130732
38	0.136566997
39	0.142043248
40	0.152434304
41	0.120366849
42	0.111595348
43	0.116308585
44	0.148200274
45	0.112156369
46	0.161906749
47	0.130844355
48	0.150781095
49	0.082530983
50	0.132916927
51	0.153948903
52	0.157713741
53	0.151290536
54	0.143501773
55	0.10333351
56	0.119223639
57	0.126959413
58	0.108443543
59	0.154111147
60	0.125811741
61	0.121876203
62	0.118347012
63	0.103335373
64	0.121142
65	0.162583098
66	0.105979353
67	0.108916581
68	0.111911722
69	0.106802188
70	0.119433239
71	0.128384337
72	0.106182277
73	0.098204568
74	0.095604755
75	0.117526554
76	0.147233501
77	0.081252694
78	0.11154031
79	0.10724733
80	0.080522709
81	0.10288129
82	0.085059941
83	0.089815758
84	0.113516092
85	0.109639272
86	0.085241586
87	0.090320572
88	0.104255065
89	0.098036103
90	0.109754056
91	0.113187879
92	0.082491852
93	0.101393886
94	0.080773577
95	0.096957065
96	0.072689727
97	0.1080833
98	0.133311003
99	0.105368592
100	0.113152213
101	0.069094211
102	0.093035087
103	0.079337344
104	0.076862432
105	0.091908284
106	0.07815028
107	0.093609847
108	0.102958262
109	0.081933305
110	0.077579729
111	0.101633541
112	0.084232248
113	0.080859706
114	0.086374074
115	0.083628178
116	0.084545009
117	0.130552039
118	0.094409384
119	0.084200107
120	0.124731213
121	0.09230911
122	0.077659637
123	0.069812678
124	0.088330783
125	0.088435747
126	0.079069749
127	0.074629828
128	0.063006565
129	0.071919776
130	0.14330858
131	0.095878676
132	0.094131641
133	0.089467235
134	0.070936099
135	0.096160099
136	0.087638982
137	0.082343839
138	0.083779067
139	0.067248926
140	0.058639169
141	0.061837405
142	0.055880208
143	0.103503942
144	0.067897685
145	0.08391723
146	0.110217124
147	0.085202061
148	0.103480443
149	0.066625468
150	0.064369239
151	0.102135189
152	0.07623294
153	0.064105183
154	0.071752824
155	0.106511608
156	0.069394268
157	0.068905711
158	0.078355342
159	0.073592588
160	0.064348273
161	0.080913588
162	0.085193679
163	0.093272217
164	0.078980468
165	0.075972766
166	0.062689118
167	0.085216329
168	0.064327456
169	0.077629492
170	0.068564914
171	0.070097379
172	0.073444575
173	0.080159202
174	0.079088472
175	0.063537866
176	0.067229249
177	0.095498927
178	0.051817328
179	0.07956966
180	0.066723011
181	0.071599163
182	0.069589779
183	0.064905629
184	0.063273139
185	0.064292111
186	0.064575352
187	0.084637292
188	0.088431783
189	0.059022084
190	0.049702648
191	0.057992235
192	0.085140988
193	0.068811022
194	0.056424253
195	0.071087711
