Step	Value
0	0.212455779
1	0.422740877
2	1.524813652
3	1.751493931
4	1.693352222
5	1.358160496
6	1.653175116
7	1.411900282
8	0.843524337
9	0.288955033
10	0.45962885
11	0.268014669
12	0.411498815
13	0.133592382
14	0.14855063
15	0.165027261
16	0.306854248
17	0.185152501
18	0.286687851
19	0.24236986
20	0.21769914
21	0.192481875
22	0.186251402
23	0.230609894
24	0.688989162
25	0.176943645
26	0.336811423
27	0.186255038
28	0.211000532
29	0.526512921
30	0.682092309
31	0.162549138
32	0.236621857
33	0.140579879
34	0.26779753
35	0.372809827
36	0.44337675
37	0.157161221
38	0.232328236
39	0.284974217
40	0.213237315
41	0.180430472
42	0.189393461
43	0.240951419
44	0.238329634
45	0.075199306
46	0.189361095
47	0.242979527
48	0.139734745
49	0.207526356
50	0.30148828
51	0.186763585
52	0.185199589
53	0.198086604
54	0.163908735
55	0.188025385
56	0.118215367
57	0.125259086
58	0.186067089
59	0.08427953
60	0.103895769
61	0.063775405
62	0.220338434
63	0.367113292
64	0.099807799
65	0.078712277
66	0.103072956
67	0.309145778
68	0.176402271
69	0.181763068
70	0.11506176
71	0.17674768
72	0.140507132
73	0.262802631
74	0.199547231
75	0.379147172
76	0.206555665
77	0.114528507
78	0.522092581
79	0.216832131
80	0.19405058
81	0.086836547
82	0.219457954
83	0.126423553
84	0.092430755
85	0.501631796
86	0.066080749
87	0.349019468
88	0.391605258
89	0.186848879
90	0.385251671
91	0.096633941
92	0.145228446
93	0.106403023
94	0.308756828
95	0.127957612
96	0.092274912
97	0.648392379
98	0.086181842
99	0.204567418
100	0.219928354
101	0.19079864
102	0.151345402
103	0.221429095
104	0.516651154
105	0.14993985
106	1.059276342
107	0.097492084
108	1.097379565
109	0.12264888
110	0.057990529
111	0.329234421
112	0.157665461
113	0.261794746
114	0.593456686
115	0.083114862
116	0.336532652
117	0.139437839
118	0.187810093
119	0.29707396
120	0.187094033
121	0.265432179
122	0.687358201
123	0.238337755
124	0.117286682
125	0.246650279
126	0.136116207
127	0.274737626
128	0.155133516
129	0.211611122
130	0.153143466
131	0.257644743
132	0.29905659
133	0.133582532
134	0.299369603
135	0.26767239
136	0.080261029
137	0.077295035
138	0.449222803
139	0.17731747
140	0.090511493
141	0.075448737
142	0.11489822
143	0.148825392
144	0.320347458
145	0.054660574
146	0.285411716
147	0.112896815
148	0.162302673
149	0.156791449
150	0.096540526
151	0.059052214
152	0.066104181
153	0.165263683
154	0.121876627
155	0.240161359
156	0.098941192
157	0.110283025
158	0.542901576
159	0.216488868
160	0.250873238
161	0.166332707
162	0.201154798
163	0.161424145
164	0.071527034
165	0.129074812
166	0.259853959
167	0.198447704
168	0.523164451
169	0.076498285
170	0.149787053
171	0.154471248
172	0.126846671
173	0.150836051
174	0.044762708
175	0.161827013
176	0.40168047
177	0.187563479
178	0.104443781
179	0.075239502
