Step	Value
0	32.73454666
1	29.36000061
2	18.01066589
3	10.65752792
4	4.480998516
5	1.735495329
6	1.386991024
7	0.791374087
8	0.621539712
9	0.243861288
10	0.228461444
11	0.226033449
12	0.362779796
13	0.379480779
14	0.30003795
15	0.828273714
16	0.784841418
17	1.026425123
18	0.783882797
19	1.194745541
20	2.028743744
21	2.21321106
22	1.756830215
23	2.079830647
24	1.866797924
25	1.657697439
26	1.860544205
27	2.310306072
28	2.531397343
29	4.301344872
30	5.008593559
31	5.735843658
32	6.040356636
33	7.417224884
34	6.303059578
35	4.815740585
36	4.961136818
37	4.239179134
38	5.151340961
39	6.506182671
40	7.111899376
41	7.931522846
42	7.759412766
43	8.585813522
44	8.41936779
45	12.06207848
46	11.63680077
47	12.03252888
48	11.0034256
49	9.898021698
50	9.993754387
51	9.997917175
52	10.42268276
53	11.16415787
54	8.786493301
55	6.687662125
56	5.074422359
57	6.718095779
58	8.268862724
59	7.997321129
60	6.679833889
61	6.905602455
62	5.921148777
63	4.217071533
64	4.242321968
65	3.954139233
66	3.553282738
67	4.104162216
68	4.506667137
69	3.689783335
70	3.321482182
71	6.939962387
72	8.857812881
73	9.026517868
74	10.7100296
75	9.684625626
76	9.213562965
77	8.119933128
78	8.858045578
79	9.352920532
80	5.974096298
81	2.458199978
82	2.143610954
83	3.325185537
84	3.138079166
85	3.406581879
86	4.755378246
87	7.007789612
88	9.071437836
89	7.533268452
90	8.193384171
91	8.243502617
92	6.930818558
93	7.53185463
94	6.992544651
95	5.306893349
96	4.323016644
97	5.18744278
98	4.009275913
99	4.20611763
100	3.622982025
101	3.108218193
102	4.213407993
103	3.150882244
104	1.864583969
105	2.09478879
106	3.866095543
107	7.48375988
108	6.981617928
109	7.625709534
110	10.85617447
111	9.887788773
112	7.987444878
113	6.91689682
114	5.750944138
115	2.708632469
116	2.089644432
117	4.720569611
118	6.3516469
119	5.08527565
120	3.976222038
121	3.246874809
122	2.748362541
123	2.061075926
124	1.605004549
125	2.51928091
126	3.043426514
127	6.493667603
128	6.098835945
129	5.224897861
130	5.445759773
131	4.646395683
132	3.52300024
133	5.039662838
134	6.083288193
135	5.077005863
136	6.573088646
137	9.248224258
138	9.016904831
139	9.774212837
140	10.0298233
141	10.99710274
142	10.46404743
143	8.201150894
144	8.113044739
145	4.637014389
146	4.59965992
147	3.859331608
148	3.188973904
149	3.837307453
150	5.570763588
151	7.072545052
152	3.539820194
153	4.871391296
154	6.809988976
155	8.635248184
156	8.407806396
157	6.387834072
158	4.006049156
159	2.62351656
160	2.040156126
161	2.539432049
162	2.649742603
163	2.270988464
164	2.905329943
165	3.912187576
166	3.804323673
167	2.867468357
168	1.702659369
169	1.249596119
170	1.276932001
171	1.625810623
172	1.654020309
173	1.192925692
174	0.459235996
175	0.708784699
176	2.175984859
177	3.022256851
178	3.825399637
179	3.202720165
180	2.226952076
181	3.846598387
182	4.17742157
183	4.092251301
184	3.562504768
185	4.388233662
186	5.901175499
187	6.124761105
188	5.682582855
189	4.70890522
190	5.028003693
191	5.749964714
192	4.873892784
193	3.321855068
194	4.319458961
195	3.60221529
196	2.984171867
197	3.287587166
198	3.556006432
199	3.641450644
200	5.02428627
201	3.615958691
202	3.520937204
203	3.730712891
204	4.585664749
205	3.590158939
206	3.676661968
207	2.566803932
208	2.298951149
209	3.339552402
210	2.708234787
211	1.610496163
212	1.353716969
213	2.024590492
214	1.027855158
215	1.361911058
216	1.300272226
217	1.061133862
218	1.257021189
219	1.45537281
220	2.142525196
221	2.659397125
222	2.597070217
223	3.028991699
224	3.353749275
225	2.149140835
226	2.696304798
227	2.980124474
228	2.105681181
229	3.569191456
230	4.817951679
231	5.838848114
232	5.19490242
233	4.353236198
234	3.578411579
235	3.099832058
236	2.839756966
237	1.319866657
238	2.272452354
239	2.885921955
240	3.010807991
241	3.27099967
242	2.272884369
243	3.29940033
244	2.186406612
245	2.822477341
246	2.269872189
247	3.22325325
248	3.957712889
249	4.816512108
250	4.116581917
251	3.46808815
252	2.445240498
253	1.949520826
254	1.875945568
255	1.847292423
256	1.941309214
257	2.363383293
258	3.668651104
259	2.241405487
260	1.305809617
261	1.006269932
262	1.307422519
263	1.737666845
264	1.778482437
265	1.550522566
266	1.436870694
267	2.267237663
268	1.651725769
269	1.216924429
270	0.983494639
271	1.446281314
272	1.855500937
273	2.276040077
274	2.184202194
275	2.396711349
276	1.193260193
277	0.690889001
278	0.823797107
279	1.105912089
280	0.791847825
281	0.508378565
282	0.559569597
283	0.518190801
284	0.912944615
285	0.864566505
286	0.79963243
287	0.976372957
288	0.749516904
289	1.274708271
290	1.675581217
291	1.792577028
292	1.171916962
293	0.935472012
294	1.33962059
295	1.741075754
296	1.211367011
297	1.500630379
298	1.454095125
299	1.615208864
300	2.927234411
301	2.235919952
302	2.017190933
303	1.920778155
304	1.756023884
305	1.667392254
306	1.755095363
307	1.797502637
308	1.09275806
309	1.090228081
310	1.298900962
311	1.309126377
312	2.602115154
313	3.362030983
314	2.699888706
315	2.819230795
316	2.83175993
317	2.708142281
318	3.286980391
319	2.302474022
320	1.753775716
321	2.133443356
322	1.706515074
323	1.895588875
324	1.519723535
325	0.782682896
326	0.549881577
327	0.977675676
328	0.593953729
329	0.829621792
330	0.679341555
331	0.942817926
332	0.683457017
333	0.519710779
334	0.45633626
335	0.897540867
336	1.632271528
337	2.118979692
338	1.868046284
339	1.955752134
340	2.890174627
341	2.501326084
342	0.891230941
343	1.343467116
344	1.649888277
345	1.895888329
346	0.947994471
347	1.134146452
348	1.005017161
349	0.830204248
350	1.033363938
351	1.074967742
352	1.164950609
353	0.595432699
354	0.650111318
355	0.65869081
356	0.634554327
357	0.791158199
358	0.905908823
359	1.210455298
360	1.10251379
361	1.144021988
362	1.149390697
363	1.191607952
364	1.562079906
365	2.070977688
366	1.885698557
367	1.780929208
368	1.72005558
369	1.779590964
370	1.97523725
371	1.637591481
372	1.523682356
373	2.35439086
374	2.488263607
375	4.471623898
376	2.436932325
377	2.237886906
378	1.854440928
379	2.037390709
380	1.717365265
381	1.706236362
382	0.714954257
383	1.062762976
384	1.320168734
385	1.421610594
386	1.274025202
387	1.944197893
388	1.868469
389	1.644191742
390	1.530718446
391	1.431254983
392	1.289620161
393	1.75681901
394	1.28278923
395	1.917118073
396	2.228528976
397	4.218748093
398	3.350863934
399	4.072985649
400	3.610440731
401	3.600015879
402	3.250286579
403	2.371250629
404	1.826420188
405	1.14964962
406	1.174143076
407	1.56912446
408	1.285382509
409	1.227619171
410	1.195617199
411	1.207141161
412	1.253299117
413	1.710380435
414	2.105497837
415	1.476266384
416	1.479165792
417	1.284906507
418	0.838096857
419	1.279780626
420	1.270903111
421	1.41271925
422	2.06005621
423	3.657155275
424	1.956882238
425	1.524868727
426	1.374975085
427	1.25549221
428	8.169579506
429	5.948249817
430	7.126992226
431	1.860679865
432	1.399115086
433	0.593033373
434	0.626526415
435	0.728980303
436	0.980079532
437	1.147946358
438	1.103541613
439	1.224948883
440	1.748915911
441	1.458615065
442	0.924180984
443	0.963883162
444	1.288547516
445	1.851881027
446	1.60441184
447	2.115628719
448	1.983512878
449	6.376786232
450	8.541293144
451	9.104030609
452	9.259479523
453	7.701166153
454	5.782427788
455	4.931005001
456	4.584885597
457	4.206496239
458	2.981842041
459	2.382390022
460	1.675107241
461	1.16728282
462	2.098895311
463	2.239668369
464	2.761013508
465	1.200656414
466	0.4883219
467	0.736849368
468	0.954295099
469	1.239766717
470	1.372223616
471	1.315350771
472	1.944279194
473	2.073273897
474	1.676882267
475	1.002586246
476	1.425806284
477	0.960639954
478	0.904181242
479	0.815620065
480	1.226462603
481	1.158326507
482	0.984892964
483	1.502123117
484	1.264480591
485	1.605885625
486	1.162883639
487	0.913989425
488	1.301921964
489	1.038020372
490	1.035529494
491	0.991363645
492	1.280997753
493	1.420378685
494	1.122375727
495	0.778151572
496	1.140719891
497	1.348386288
498	1.348651052
499	1.049248099
500	1.198775053
501	1.018764019
502	0.944032788
503	1.143514276
504	1.017980456
505	1.279910088
506	1.247769117
507	3.073270798
508	3.376364231
509	3.097710371
510	2.642570734
511	3.184856415
512	2.885693789
513	2.927365303
514	2.232390165
515	1.384239554
516	1.13740325
517	0.984894633
518	1.515592337
519	3.924614906
520	4.356593609
521	3.826481819
522	3.16236496
523	3.712002754
524	3.709077835
525	5.061999321
526	5.370804787
527	0.860455871
528	0.62070334
529	0.794462502
530	0.982280612
531	1.990787029
532	2.627473354
533	2.391757488
534	2.131492853
535	1.937410474
536	1.776331663
537	1.421212316
538	0.93013835
539	1.647045612
540	2.113333702
541	1.94436264
542	2.853596449
543	1.655464411
544	1.933249712
545	1.622699022
546	4.566102505
547	4.386349678
548	2.109772682
549	2.220586538
550	1.482529283
551	1.793223381
552	1.720798969
553	1.653117657
554	1.571068764
555	1.702371836
556	1.934493303
557	1.37626195
558	0.82929641
559	1.072211385
560	1.329838276
561	1.348041058
