Step	Value
0	152.3492889
1	99.59989166
2	60.09711838
3	32.74385071
4	15.4523077
5	7.412600517
6	3.80769062
7	3.586575985
8	3.284373283
9	2.644972563
10	2.51573205
11	2.545555592
12	2.512089252
13	2.757699251
14	2.362563133
15	1.99943769
16	2.216017008
17	2.014685631
18	2.087528944
19	2.193855047
20	2.368908882
21	2.419439793
22	1.885436773
23	1.987228394
24	2.213037014
25	1.785502791
26	1.915008783
27	1.917152643
28	1.740477204
29	1.768095613
30	2.080691338
31	1.634926915
32	1.756483674
33	1.806059718
34	2.012133121
35	1.779966354
36	1.40715766
37	1.846695185
38	1.541076422
39	1.461200714
40	1.660478234
41	1.391536236
42	1.576299071
43	1.810407877
44	1.272595882
45	1.502916932
46	1.413507581
47	1.314384341
48	1.10472858
49	1.473311782
50	1.241510868
51	1.396060228
52	1.49834919
53	1.364127994
54	1.03474164
55	1.309173703
56	1.128927946
57	1.189911723
58	1.110468268
59	0.875333071
60	1.141743541
61	1.13676393
62	1.142746568
63	0.976669133
64	0.90569222
65	1.059851408
66	1.057327986
67	0.881041169
68	0.96280545
69	0.966580749
70	0.789482534
71	0.854222
72	0.87990725
73	1.032568812
74	1.012984753
75	1.165850759
76	0.823451817
77	0.923477948
78	0.970542431
79	0.878273606
80	0.86947602
81	0.815196633
82	0.841858804
83	0.849207461
84	0.855625689
85	1.008565307
86	0.844627559
87	0.974776685
88	0.919268966
89	0.987279534
90	0.763049543
91	0.751556575
92	0.666916549
93	0.840306818
94	0.642887115
95	0.748944223
96	0.709361315
97	0.864643216
98	0.776860476
99	0.736537933
100	0.725831866
101	0.737986326
102	0.920389593
103	0.709124804
104	0.807699919
105	0.649108648
106	0.798319817
107	0.709882736
108	0.647402167
109	0.567255378
110	0.639736772
111	0.586403489
112	0.794891179
113	0.772852361
114	0.664327562
115	0.747446358
116	0.609067559
117	0.678603888
118	0.630091965
119	0.651853859
120	0.686573803
121	0.660272181
122	0.667224407
123	0.884303272
124	0.66208744
