Step	Value
0	200.9025726
1	161.1048431
2	134.1114807
3	113.4236298
4	93.73117828
5	75.60612488
6	58.99774551
7	45.46953964
8	33.79310226
9	24.39981461
10	17.6533165
11	11.57574272
12	8.318041801
13	6.409367085
14	5.108132362
15	3.742158651
16	4.088033199
17	2.918291092
18	3.643235207
19	2.490701675
20	2.101829767
21	2.11742568
22	2.507244825
23	2.260981798
24	2.122268438
25	3.258047581
26	2.592234135
27	2.557165146
28	2.18061924
29	2.407917261
30	2.332343578
31	2.614313602
32	2.256232977
33	2.223664284
34	2.513778687
35	2.469158888
36	1.912487507
37	2.585592508
38	2.166333675
39	2.648867846
40	2.011421919
41	1.874180555
42	2.055249691
43	3.046150923
44	1.967980742
45	2.138159275
46	2.198625565
47	2.057266712
48	1.918756485
49	1.88662684
50	2.002267838
51	2.648476839
52	1.735268831
53	1.647241712
54	1.615455866
55	1.956616998
56	1.86047256
57	2.216859102
58	1.52962184
59	2.490299463
60	2.674717903
61	1.790545583
62	2.531879902
63	1.580160618
64	1.756855369
65	2.047900915
66	1.754118562
67	2.12617135
68	2.137186766
69	1.408646107
70	2.542962074
71	1.690226674
72	1.677742958
73	1.775598884
74	1.772298098
75	1.879514575
76	2.112206459
77	1.468309045
78	1.44259274
79	1.545577407
80	1.660086989
81	1.568315983
82	1.309979677
83	1.959794402
84	2.027799368
85	1.392612576
86	2.361488342
87	1.630999088
88	1.410867214
89	1.823106766
90	2.035347223
91	1.791030884
92	2.379431009
93	1.580056548
94	1.580176592
95	2.386070251
96	1.897570968
97	1.723770857
98	1.800124168
99	1.614924431
100	1.972275138
101	1.668106556
102	1.410876274
103	1.460762739
104	1.680568337
105	1.267561197
106	1.70819962
107	1.482269883
108	1.457804203
109	1.789579153
110	2.206186533
111	1.50344789
112	1.356891513
113	1.432083726
114	1.541051626
115	1.843451977
116	1.65913403
117	1.469965219
118	1.839202166
119	1.454050183
120	1.439000845
121	2.021426916
122	1.487764359
123	0.919041276
124	1.501838446
125	1.245152593
126	1.539587498
127	1.274638891
128	1.517095208
129	1.521038651
130	1.360916615
131	1.078619719
132	1.803334117
133	1.625370502
134	1.388003707
135	1.130586386
136	2.056446552
137	1.811925173
138	1.806969166
139	1.426298499
140	1.506499171
141	1.519235849
142	1.597661614
143	1.669401884
144	1.068927169
145	1.862130642
146	1.112258077
147	1.451293826
148	1.367841482
149	1.648971677
150	1.811991692
151	1.269245386
152	1.473701835
153	1.325552344
154	1.632504702
155	1.220194459
156	1.489821434
157	1.455322623
158	1.760909081
159	1.421144247
160	1.442520022
161	2.21211195
162	1.260848403
163	1.396201372
164	1.348050356
165	1.944741845
166	1.25358212
167	1.020802021
168	1.200989366
169	1.634260893
170	1.807662725
171	1.458377719
172	1.063034892
173	1.112239361
174	1.239505291
175	1.319751859
176	1.76141274
177	1.364424586
178	2.124636173
179	1.318028927
180	1.078820586
181	1.417907953
182	1.315809488
183	1.594757438
184	1.372224689
185	1.103144526
186	1.075416565
187	1.519961238
188	1.663449287
189	1.561055303
190	1.347983003
191	1.211343169
192	1.325507402
193	1.466583848
194	1.260451555
195	1.761262774
196	0.970581591
197	0.884956479
198	1.361269474
199	1.49072957
200	0.928064942
201	1.065485597
202	0.87267983
203	1.346511483
204	1.512424946
205	1.704347134
206	1.675314307
207	1.219179153
208	1.285880923
209	1.222903371
210	1.506450534
211	1.211028576
212	1.411168456
213	1.441475987
214	0.854445517
215	1.095548749
216	1.12159431
217	0.924074352
218	1.327137589
219	1.067375898
220	1.154829025
221	0.816525042
222	0.875399828
223	1.093311906
224	0.935627818
225	1.209050298
226	0.953382075
227	1.306963205
228	0.940734684
229	1.04752171
230	1.212118387
231	1.101420879
232	1.0605371
233	0.774314523
234	1.143210411
235	1.2558465
236	1.557797194
237	0.752078533
238	1.03248179
239	1.007891536
240	0.894096434
241	0.903648794
242	1.493989468
243	1.271128654
244	1.289330602
245	1.192800641
246	0.971599996
247	1.429193258
248	1.108303547
249	0.759902
250	1.226039767
251	1.484775782
252	1.308542371
253	0.940010846
254	0.934672773
255	0.902229011
256	1.586277008
257	0.775528073
258	1.103591442
259	1.002533197
260	1.078232646
261	0.909554839
262	1.776163816
263	1.233198047
264	1.250172019
265	0.829852879
266	1.035303235
267	1.009518862
268	1.142882586
269	0.878084302
270	1.022934437
271	0.909625828
272	1.010122299
273	1.070801377
274	0.954819381
275	1.18971324
276	0.812184989
277	0.583642364
278	1.096276045
279	0.740601301
280	0.723422408
281	1.004406095
282	0.91477102
283	0.88562572
284	0.884075046
285	0.712194383
286	1.114410996
287	0.669475853
288	0.846221566
289	0.836548328
290	1.181260109
291	0.931912899
292	0.645737231
293	1.220276594
294	0.984300494
295	0.801131904
296	0.763671696
297	1.098077893
298	1.095262766
299	0.779511452
300	0.8694157
301	1.31591773
302	1.101600289
303	0.891593635
304	0.906844497
305	0.765259743
306	0.785477459
307	1.181836247
308	0.826905787
309	0.758749962
310	0.951358497
311	0.81193465
312	0.904800534
313	0.604936123
314	0.842625618
315	0.808555007
316	0.730055213
317	0.790893435
318	0.762443364
319	0.904340863
320	0.866345644
321	0.852456272
322	0.64883709
323	0.724928141
324	1.080446362
325	0.584320128
326	1.031096101
327	0.951582789
328	1.544068098
329	1.188780785
330	0.975646496
331	1.009246945
332	0.783002973
333	0.970598757
334	0.68423903
335	0.881517649
336	0.740401506
337	0.769007027
338	1.019123435
339	0.682215393
340	0.773594439
341	1.184267282
342	0.734104574
343	0.745866716
344	0.849177063
345	0.81235379
346	1.227038503
347	0.892952323
348	0.958034098
349	0.753169656
350	0.643373072
351	0.681575775
352	1.06615746
353	0.987236321
354	0.70129776
355	0.769375503
356	0.887429118
357	0.826470554
358	0.665773869
359	0.895128071
360	0.997997761
361	0.811114967
362	0.578065753
363	0.772730887
364	0.568055332
365	0.647362113
366	0.868926585
367	0.74175334
368	0.605898678
369	0.664101839
370	0.829380929
371	0.882633984
372	0.778047085
373	0.617849827
374	0.754956424
375	0.655573666
376	0.938193142
377	0.604595304
378	0.786862493
379	0.748063922
380	0.684729636
381	0.835476696
382	0.656950891
383	0.520582676
384	0.555672526
385	0.616158068
386	0.841469169
387	0.890618265
388	0.702513993
389	0.622200012
390	0.57926923
391	0.797877371
392	0.81597352
393	0.82313627
394	0.61768353
395	0.657541811
396	0.513432503
397	0.713340163
398	0.859272718
399	0.526609659
400	0.757814348
401	1.207709551
402	0.801622987
403	0.56856811
404	0.88193655
405	0.617548048
406	0.755658627
407	0.742049575
408	0.650391459
409	0.559697568
410	0.5866189
411	0.599062443
412	0.798543036
413	0.983514965
414	0.590494692
415	0.536927581
416	0.785045564
417	0.660382152
418	0.552824914
419	0.672296166
420	0.639447749
421	0.511834443
422	0.593842983
423	0.585972846
424	0.357339859
425	0.716430187
426	0.945623696
427	0.84636265
428	0.916014135
429	0.602026045
430	0.557430625
431	0.635986447
432	0.584346235
433	0.552863121
434	0.530553699
435	0.533324659
