Step	Value
5	0.902420163
6	0.422775626
10	0.16183646
11	0.143539578
13	0.146699488
14	0.148065433
15	0.12870568
17	0.115195006
18	0.108645037
19	0.118762031
20	0.112691641
24	0.098035514
33	0.084685937
34	0.076094843
36	0.081111714
39	0.077302113
40	0.084520973
42	0.072908647
44	0.074427947
45	0.066704191
47	0.075218707
49	0.06816978
50	0.067088097
53	0.068485521
54	0.068725608
55	0.065121152
56	0.067451388
57	0.067608833
60	0.059951782
61	0.063207425
63	0.055138767
65	0.060426258
66	0.063265771
67	0.060301725
68	0.071511462
71	0.061861739
72	0.056821726
73	0.061969932
74	0.058101252
76	0.063027114
79	0.055930387
84	0.060289498
85	0.056555901
86	0.063321173
87	0.056234349
88	0.053768657
89	0.054880649
94	0.0526338
102	0.052189365
105	0.053483296
106	0.047097828
113	0.051316909
116	0.050383843
118	0.049944334
119	0.051263139
120	0.047816761
124	0.048183933
125	0.044211492
126	0.042676028
129	0.047945257
130	0.047316082
133	0.042421505
137	0.042936474
139	0.047794595
141	0.042583752
142	0.043609854
143	0.043148886
144	0.042334996
148	0.03991428
150	0.042433821
153	0.040759291
154	0.04041554
155	0.037036803
157	0.039926361
158	0.038922112
159	0.037144542
162	0.041509587
164	0.048072185
165	0.042469434
167	0.038949177
168	0.043434113
171	0.039230086
176	0.041978478
177	0.042841669
178	0.040325403
180	0.037408937
181	0.036158014
183	0.035054591
185	0.033052195
186	0.037820123
187	0.036943205
188	0.036285535
190	0.034112196
191	0.036292501
198	0.032874793
202	0.032841668
206	0.034395479
207	0.033826653
208	0.034692794
212	0.031601254
215	0.032359194
218	0.043297127
219	0.035922386
222	0.03581709
223	0.03696835
225	0.040008675
226	0.029900903
227	0.029902071
229	0.031459626
230	0.033927392
232	0.031923272
233	0.034568869
234	0.034539372
237	0.030803142
240	0.033525359
245	0.03610469
247	0.03170982
249	0.030518064
250	0.034873459
255	0.032369189
258	0.033044159
259	0.02994868
260	0.030836402
261	0.02961291
263	0.029948412
267	0.030996289
269	0.028011147
271	0.028143229
273	0.02977206
278	0.029739641
280	0.031041142
284	0.03386936
289	0.030215558
291	0.028187647
292	0.029897152
295	0.035051197
297	0.031594146
298	0.027864242
299	0.028495982
301	0.032758363
302	0.0289273
303	0.026059367
307	0.026154483
308	0.030124821
310	0.02526113
313	0.029344631
317	0.025561558
318	0.024737801
319	0.026483091
320	0.025634646
322	0.025938366
325	0.027942028
326	0.028510755
327	0.028965266
330	0.026538599
331	0.024708023
333	0.029657403
339	0.026672365
341	0.027729545
344	0.024236152
345	0.024635224
347	0.027477687
348	0.030147143
353	0.023815442
354	0.023532864
356	0.027778873
358	0.025393393
359	0.027425114
360	0.02949982
363	0.023337992
364	0.025745483
367	0.027966952
368	0.025354665
370	0.026965274
371	0.023653386
373	0.026769584
377	0.026191335
378	0.021572599
379	0.024965534
381	0.026313379
382	0.02425619
385	0.022595758
386	0.027584122
387	0.024381269
388	0.021426147
390	0.025472051
391	0.02571208
392	0.023903722
393	0.022475079
402	0.02370232
403	0.022355013
405	0.025457833
408	0.023684954
415	0.024837362
416	0.021432009
420	0.021472065
421	0.023037586
422	0.025180943
424	0.023338424
426	0.027148018
430	0.024397383
439	0.024543153
440	0.025384409
441	0.021210859
442	0.023125248
444	0.018894216
445	0.020630322
448	0.021888068
451	0.021611895
458	0.021189816
459	0.021937657
460	0.020505976
461	0.020470755
463	0.022700563
464	0.02098727
465	0.022515535
467	0.021031139
468	0.022345234
469	0.020492854
471	0.022769738
473	0.022815041
474	0.024302093
478	0.019003103
485	0.023626506
488	0.022082226
489	0.019703459
491	0.019489927
493	0.019655842
496	0.02003937
507	0.02099915
510	0.020023512
511	0.02237967
512	0.019909328
514	0.01889473
516	0.021095611
517	0.019241512
519	0.021585325
524	0.023547743
525	0.023401201
531	0.021762805
533	0.022085324
534	0.020173481
535	0.020961476
536	0.020874713
537	0.019214021
538	0.019992167
539	0.01974746
540	0.018469727
541	0.018552518
542	0.019074973
544	0.022095181
547	0.020390401
548	0.019031167
549	0.019575505
551	0.020117074
555	0.01820028
557	0.020981392
559	0.019733252
563	0.020782107
564	0.023055673
565	0.020740256
567	0.018308118
569	0.020424668
571	0.019405238
573	0.021143354
574	0.021567168
577	0.017964313
579	0.020613519
580	0.01798065
581	0.017305002
582	0.021759471
583	0.01858471
584	0.019370433
586	0.023760296
587	0.020525815
592	0.019172072
593	0.020564564
595	0.017565288
596	0.018849414
597	0.017951801
600	0.01879538
602	0.017055778
604	0.02130885
606	0.018456031
608	0.01733437
610	0.02098302
611	0.019700635
612	0.018050395
615	0.018852331
619	0.019812921
620	0.020451877
622	0.015485852
623	0.018429911
625	0.02007298
629	0.017096393
634	0.018055307
641	0.019736318
642	0.01967
644	0.018036688
645	0.021165106
646	0.01768787
647	0.020960767
648	0.019531619
649	0.018934565
651	0.019290648
652	0.019018577
656	0.017430544
657	0.017165532
659	0.019020472
661	0.016390773
664	0.017768847
666	0.017566524
667	0.01866637
668	0.019849574
671	0.014009899
672	0.019146474
673	0.017240215
674	0.019019667
675	0.015687602
677	0.017257901
678	0.018052859
679	0.018159438
681	0.020144071
682	0.016550656
683	0.019263756
684	0.016474633
685	0.019112639
686	0.016537458
688	0.018819904
689	0.020634713
692	0.020590954
696	0.019295258
699	0.016740073
700	0.018089078
701	0.019640904
703	0.014468137
704	0.017821768
705	0.016311603
706	0.016443968
708	0.017938044
709	0.015224518
710	0.017515657
714	0.017948546
718	0.016755439
719	0.020320529
721	0.019692095
722	0.017610241
723	0.018409651
724	0.015122279
725	0.018125782
726	0.015551001
729	0.017097654
730	0.015482232
736	0.016974352
738	0.016875638
739	0.018437639
740	0.017203502
741	0.01775969
743	0.015197597
