Step	Value
5	29.4057827
6	25.18805695
10	12.72203445
11	10.48935318
13	6.981633186
14	5.409151077
15	3.847782135
17	2.438361645
18	1.951042056
19	1.614085436
20	1.147134662
24	0.515739977
33	0.224057794
34	0.216529846
36	0.280417264
39	0.202958614
40	0.166376337
42	0.212928265
44	0.172770441
45	0.151569933
47	0.15966323
49	0.139948055
50	0.124204688
53	0.157198086
54	0.19910863
55	0.130819082
56	0.147532403
57	0.129868522
60	0.143140271
61	0.14357315
63	0.120423406
65	0.201476708
66	0.122606233
67	0.231147498
68	0.18504642
71	0.20092538
72	0.13419722
73	0.132908493
74	0.10752514
76	0.175285384
79	0.107696503
84	0.123189293
85	0.10549254
86	0.096765921
87	0.182534859
88	0.159978464
89	0.124211773
94	0.13531974
102	0.108358443
105	0.13409853
106	0.128763482
113	0.150033608
116	0.080267206
118	0.124607965
119	0.101295024
120	0.112503059
124	0.092378348
125	0.100115418
126	0.087110214
129	0.092679471
130	0.107653625
133	0.12101467
137	0.109645575
139	0.089471512
141	0.10153687
142	0.077302068
143	0.100459807
144	0.081432052
148	0.088175505
150	0.093999512
153	0.097676612
154	0.090155646
155	0.094456665
157	0.108645342
158	0.113964699
159	0.112074465
162	0.132221043
164	0.095230475
165	0.099702448
167	0.142711222
168	0.100937575
171	0.085688762
176	0.093050092
177	0.077686518
178	0.07732325
180	0.094302759
181	0.093325995
183	0.070198953
185	0.079242818
186	0.087457947
187	0.084505245
188	0.086593635
190	0.073201805
191	0.09485174
198	0.083173268
202	0.08735726
206	0.059310883
207	0.103492379
208	0.064304851
212	0.077909432
215	0.067180693
218	0.067713603
219	0.090473771
222	0.067477532
223	0.065058701
225	0.070922121
226	0.11072807
227	0.067743175
229	0.06457027
230	0.07367453
232	0.071788214
233	0.084362388
234	0.090492055
237	0.076058343
240	0.076503731
245	0.060108021
247	0.07474611
249	0.076939709
250	0.069944173
255	0.066585951
258	0.064299822
259	0.097347483
260	0.145859957
261	0.149201512
263	0.069483593
267	0.068046592
269	0.07936766
271	0.079459891
273	0.056778252
278	0.069979966
280	0.080496013
284	0.071253702
289	0.093630776
291	0.058688056
292	0.0629052
295	0.064062648
297	0.06016849
298	0.080238417
299	0.064475909
301	0.07436759
302	0.0806695
303	0.098179772
307	0.079532675
308	0.07225503
310	0.079842634
313	0.053165566
317	0.079242863
318	0.076116301
319	0.07807143
320	0.076855749
322	0.072393611
325	0.073680982
326	0.073683038
327	0.088978671
330	0.070053443
331	0.06642738
333	0.068424895
339	0.08028584
341	0.067311466
344	0.076010972
345	0.067199908
347	0.059716739
348	0.061935049
353	0.065334916
354	0.07223314
356	0.058870159
358	0.063989535
359	0.106461845
360	0.065033153
363	0.072756603
364	0.080264591
367	0.058608357
368	0.079400331
370	0.091150641
371	0.067416802
373	0.123421811
377	0.089537859
378	0.050294373
379	0.056335267
381	0.060839526
382	0.071627386
385	0.068821922
386	0.070722409
387	0.06231916
388	0.065009028
390	0.065497108
391	0.086926855
392	0.059189681
393	0.04463283
402	0.075592019
403	0.060692843
405	0.076914467
408	0.064382069
415	0.072875611
416	0.067769878
420	0.061420273
421	0.051707666
422	0.060200941
424	0.071136609
426	0.049821969
430	0.059570655
439	0.061270911
440	0.061328113
441	0.063860387
442	0.060746115
444	0.057994507
445	0.062797673
448	0.082169436
451	0.063992418
458	0.061585229
459	0.061989125
460	0.067677341
461	0.058633219
463	0.059141304
464	0.057300951
465	0.067925446
467	0.101543866
468	0.133922547
469	0.103585526
471	0.073380195
473	0.057905428
474	0.061325036
478	0.09236066
485	0.06288626
488	0.067747533
489	0.074190773
491	0.061678927
493	0.045063294
496	0.064153746
507	0.037890125
510	0.062353946
511	0.058775365
512	0.061366867
514	0.052551888
516	0.045768373
517	0.057715781
519	0.056435019
524	0.049533129
525	0.067074798
531	0.06674315
533	0.084899843
534	0.062988773
535	0.074474812
536	0.086282775
537	0.053759128
538	0.082206614
539	0.071165465
540	0.052906726
541	0.074642695
542	0.059427783
544	0.042834666
547	0.091015957
548	0.053027872
549	0.057777971
551	0.056414355
555	0.04805667
557	0.070849106
559	0.050483417
563	0.051778592
564	0.048521176
565	0.054231688
567	0.05105646
569	0.058638662
571	0.041156564
573	0.055477895
574	0.065011486
577	0.064329103
579	0.058985971
580	0.061177056
581	0.069857508
582	0.066403612
583	0.042944375
584	0.068123318
586	0.061292395
587	0.068576247
592	0.061744526
593	0.064562671
595	0.058163397
596	0.055681001
597	0.052048165
600	0.060360312
602	0.055874135
604	0.073025353
606	0.064738847
608	0.053414535
610	0.064208776
611	0.075743303
612	0.069259927
615	0.079413161
619	0.059154999
620	0.051299885
622	0.071202733
623	0.051274151
625	0.052311223
629	0.048309565
634	0.060937569
641	0.043089237
642	0.057026703
644	0.064202271
645	0.048453592
646	0.041597147
647	0.060340285
648	0.05042376
649	0.051765546
651	0.05274481
652	0.058879822
656	0.079371348
657	0.070083223
659	0.096505739
661	0.052474204
664	0.054540794
666	0.047618963
667	0.044179589
668	0.053667322
671	0.050363332
672	0.058882572
673	0.089565307
674	0.070787698
675	0.05167599
677	0.074286439
678	0.051789679
679	0.044867225
681	0.042335283
682	0.042059541
683	0.067925103
