Step	Value
5	4.155298233
6	3.064164162
11	2.549192429
14	2.683855057
15	2.050937891
18	2.243571997
20	2.670023918
24	2.441093206
36	2.687058449
40	1.752402544
42	2.080066919
44	1.688545704
45	1.954167247
47	1.472122431
53	1.996997237
54	1.339379311
55	1.567046285
56	1.54028523
57	1.667849302
65	1.517321467
68	1.274416327
71	1.556466579
72	1.222623944
73	1.521403193
74	1.274213195
79	1.174070597
87	1.659438968
88	1.431746006
94	0.998770237
102	1.392338276
105	1.180963397
106	0.971825123
113	0.975794554
116	0.936567962
118	0.820985854
126	1.086435199
129	0.859990418
130	0.822005153
139	0.783167362
141	0.927685261
142	0.820335984
143	0.771775305
150	0.866522729
155	1.063658953
157	0.80228734
158	0.782772124
162	0.843231857
167	0.896220148
168	0.856904507
171	0.740130305
177	0.6213153
178	0.769856215
180	0.632770479
183	0.726282299
185	0.810081005
186	0.892662466
188	0.765401125
190	0.69013226
191	0.737444222
198	0.738648891
206	0.732852995
207	0.738835037
208	0.69786489
212	0.739144504
222	0.718150377
223	0.665000558
225	0.675843239
229	0.808568478
232	0.803380072
233	0.586319208
234	0.832278371
237	0.670999169
249	0.704065382
255	0.508587539
258	0.645796955
260	0.585621834
261	0.715553641
263	0.598433435
267	0.58359319
271	0.539977849
273	0.669356048
278	0.642317951
292	0.597711623
297	0.668683112
298	0.616525292
302	0.592435837
303	0.566175759
307	0.503423929
308	0.624189854
310	0.527572989
313	0.63549751
318	0.5632357
319	0.591446698
320	0.465719759
325	0.512860835
326	0.57765609
327	0.638432801
330	0.600325823
339	0.506009221
341	0.559744596
347	0.612521529
353	0.525835991
354	0.49753648
360	0.654189348
363	0.58089602
367	0.584645808
371	0.726607502
373	0.622168124
377	0.538034499
378	0.554451644
379	0.534292161
381	0.513038039
386	0.461829901
391	0.475517064
392	0.543408513
393	0.460431874
408	0.456113458
415	0.506045043
421	0.504806399
422	0.51751709
424	0.454490215
426	0.42264235
430	0.463203907
439	0.470941424
441	0.475389242
442	0.48545593
445	0.391976625
451	0.506095111
459	0.378736883
460	0.454730362
463	0.464558393
464	0.469996631
473	0.428275734
474	0.446691453
485	0.527476728
488	0.460063964
489	0.418480128
491	0.52734369
493	0.477768362
507	0.435204357
512	0.505433202
514	0.432726771
517	0.621658981
519	0.529237747
524	0.519934237
525	0.54835242
531	0.521408141
533	0.438001275
534	0.395267904
536	0.373610526
537	0.430976093
540	0.522035778
542	0.46588254
547	0.436054736
548	0.440950125
557	0.438239336
559	0.448671401
563	0.414487541
564	0.479233831
565	0.47398144
569	0.402480394
573	0.317462236
574	0.460054964
577	0.532468796
579	0.71461314
580	0.514084399
581	0.410986662
582	0.381487399
583	0.420041353
584	0.531619668
586	0.626001298
587	0.517311573
592	0.358967513
593	0.393812805
597	0.571288228
600	0.454808086
602	0.431887418
608	0.487807125
610	0.444135368
615	0.452128172
619	0.507657468
620	0.49126175
622	0.591679692
634	0.473112047
641	0.409459054
642	0.384920716
644	0.526070833
645	0.533440888
646	0.339430183
647	0.43119216
649	0.406761676
652	0.44201085
656	0.421664953
657	0.499270082
661	0.442716628
664	0.46458441
668	0.539083958
671	0.384061724
672	0.411640257
673	0.395251632
674	0.403078616
675	0.447961003
677	0.362523705
678	0.423247099
679	0.393365055
682	0.364600778
683	0.395841002
684	0.334194481
686	0.412695885
688	0.442639291
689	0.535336316
696	0.429735303
699	0.534839153
703	0.465455115
706	0.471382886
708	0.415774554
710	0.505987823
714	0.430373937
718	0.527817249
721	0.423224926
722	0.475138932
723	0.407625169
724	0.417239219
730	0.339376509
736	0.523123741
738	0.425085813
739	0.50447458
743	0.348126799
746	0.450163722
747	0.449415326
750	0.378482223
751	0.363093942
752	0.384090334
754	0.437853396
756	0.42547822
762	0.385768086
765	0.477914572
766	0.427312136
769	0.350131601
770	0.374764979
771	0.36206615
773	0.389986068
774	0.338691115
780	0.423124641
784	0.453724265
785	0.365240514
787	0.315194577
789	0.400565743
791	0.344684601
792	0.371868253
793	0.481372923
794	0.55396688
795	0.487594962
798	0.41460526
800	0.524417996
802	0.341870308
805	0.416439652
807	0.43366912
808	0.362087756
809	0.306567371
815	0.393327594
816	0.360632598
818	0.414422274
821	0.400566965
825	0.380361527
828	0.359689385
831	0.441637874
832	0.394187123
834	0.377969801
836	0.433586359
838	0.410385698
843	0.319018841
846	0.372974187
848	0.367872745
863	0.375507206
867	0.416665763
869	0.420914322
870	0.340204865
874	0.309237421
876	0.3714028
877	0.359500974
880	0.371641815
882	0.392731011
884	0.348247558
887	0.468213141
889	0.467568547
890	0.45432812
892	0.380658031
896	0.318830639
900	0.472789586
907	0.547495842
908	0.41283223
909	0.418203443
910	0.516152084
912	0.345768511
915	0.431031048
916	0.430812925
917	0.416971713
920	0.424291402
921	0.38617453
922	0.34294787
923	0.483177304
931	0.523099542
932	0.395559281
935	0.354130179
942	0.482746065
945	0.324423313
953	0.383918107
954	0.45518288
956	0.366445363
957	0.469559819
958	0.396429509
961	0.334867358
962	0.395726949
964	0.358130693
966	0.468571633
971	0.312648535
972	0.33046031
976	0.400315553
977	0.411948472
978	0.320390314
979	0.329229414
982	0.387812525
983	0.36092031
984	0.363858104
987	0.473714501
988	0.427407384
996	0.530491233
1000	0.458278298
1002	0.321836799
1004	0.381359786
1005	0.433755368
1008	0.37464866
1011	0.391359597
1012	0.379308105
1013	0.398822039
1014	0.38527149
1017	0.540212095
1025	0.353233308
1027	0.3267304
1029	0.372257084
1031	0.448033065
1032	0.391168237
1035	0.386102468
1037	0.27778697
1039	0.444167256
1044	0.377325594
1051	0.478406042
1052	0.529425859
1055	0.41886583
1057	0.345906466
1063	0.374513954
1064	0.348659575
1066	0.29433617
1068	0.381066591
1072	0.365020335
1076	0.327999979
1078	0.302091718
1083	0.354173005
1084	0.311327308
1085	0.330851108
1092	0.425690562
1093	0.381404787
1099	0.374708056
1103	0.406275958
1104	0.474475861
1105	0.389442354
1114	0.329903901
1116	0.293230504
1119	0.371986538
1125	0.308746338
1126	0.340956002
1130	0.304798633
1133	0.409397393
1134	0.369695544
1135	0.426487595
1138	0.363488317
1149	0.325749755
1152	0.3119663
1155	0.319313943
1156	0.310763031
1157	0.397785008
1160	0.327522576
1161	0.420484811
1162	0.348827749
1177	0.34471637
1180	0.315739483
1182	0.355591267
1183	0.334091455
1185	0.386205763
1186	0.3575854
1189	0.345658809
1192	0.303946197
1193	0.337885499
1195	0.324171603
1197	0.325610995
1199	0.340894014
1201	0.287268162
1204	0.32731992
1206	0.336963534
1208	0.371366918
1210	0.400629342
1212	0.365072221
1214	0.365909368
1224	0.395806104
1228	0.416499496
1232	0.349290371
1233	0.276615918
1234	0.357685715
1236	0.332036912
1239	0.310676724
1242	0.34025678
1244	0.347665191
1247	0.364257425
1253	0.331643999
1255	0.292198837
1257	0.396517396
1258	0.313016295
1261	0.307999283
1262	0.454406142
1263	0.325260907
1266	0.338814616
1274	0.325822353
1279	0.290342987
1281	0.31549108
1287	0.372397006
1291	0.356560081
1292	0.403891981
1293	0.607078791
1294	0.405005574
1300	0.429213911
1303	0.376967162
1310	0.299593538
1312	0.32989949
1315	0.279325783
1316	0.331554502
1319	0.321898401
1320	0.262257397
1325	0.325102687
1326	0.276679158
1327	0.283272475
1330	0.364408016
1333	0.369687647
1334	0.305966705
1335	0.314008147
1336	0.305012226
1337	0.341369867
1343	0.294488639
1349	0.445515931
1355	0.36046198
1359	0.370420337
1361	0.357735008
1366	0.333797693
1370	0.392726362
1377	0.324199319
1379	0.277258366
1382	0.359105825
1384	0.352670848
1385	0.296664804
1388	0.331540644
1389	0.335064828
1391	0.317855954
1392	0.327392846
1395	0.342921942
1412	0.340572
1413	0.530594289
1414	0.308350742
1415	0.334538609
1419	0.313426018
1422	0.307592571
1426	0.341929883
1427	0.337908417
1428	0.274125874
1432	0.301862806
1433	0.375688761
1434	0.345996886
1436	0.294872999
1438	0.372433037
1440	0.314301431
1442	0.353268683
1450	0.322629839
1455	0.464200139
1456	0.35209021
1465	0.310046047
1466	0.285488427
1477	0.376080096
1482	0.311821878
1485	0.301549166
1486	0.337984622
1489	0.378738821
1491	0.306341887
1492	0.407253563
1500	0.284973234
1501	0.365617543
1502	0.321271032
1503	0.432008564
1506	0.315656364
1508	0.319291264
1509	0.370042115
1510	0.369424969
1518	0.296400666
1523	0.329462469
1524	0.314687937
1527	0.281746179
1534	0.319080532
1536	0.372579157
1546	0.358856261
1551	0.324456304
1552	0.330467165
1554	0.368862063
1555	0.319129497
1561	0.334957093
1562	0.286970943
1568	0.312177956
1569	0.348138899
1578	0.283657253
1582	0.34360224
1584	0.273144633
1588	0.297067791
1597	0.322430998
1599	0.345084578
1602	0.275696844
1604	0.321689397
1605	0.350573778
1610	0.3409805
1613	0.325101912
1618	0.31633994
1620	0.313186407
1624	0.365305185
1626	0.342427254
1627	0.316666573
1628	0.350644052
1630	0.292529017
1632	0.339849472
1637	0.321381778
1640	0.314867735
1642	0.337569624
1645	0.310474008
1648	0.348662317
1652	0.287819862
1655	0.307288319
1659	0.264424801
1660	0.30801791
1661	0.345507085
1668	0.316827863
1670	0.282066733
1672	0.3915039
1675	0.366568625
1676	0.434334099
1682	0.401168346
1683	0.297351301
1687	0.429664671
1691	0.329805255
1694	0.359260321
1695	0.360818833
1696	0.452112108
1697	0.441173524
1699	0.342160016
1702	0.320212424
1709	0.26504764
1710	0.284347117
1715	0.318285555
1717	0.394986808
1718	0.299754232
1719	0.291904926
1728	0.328914404
1732	0.315577596
1733	0.355479836
1734	0.359698534
1735	0.282241136
1737	0.370021105
1742	0.3026205
1743	0.279377729
1745	0.353096694
1746	0.498459578
1747	0.327401727
1750	0.288714886
1752	0.356088698
1753	0.31406343
1754	0.309652328
1763	0.348258466
1766	0.249623626
1775	0.338578135
1781	0.425802231
1782	0.357426047
1788	0.269751549
1789	0.305007935
1790	0.324617147
1792	0.417835116
1798	0.30542627
1804	0.279966682
1805	0.279610097
1813	0.364142329
1814	0.485440761
1817	0.396582127
1820	0.324204683
1824	0.301157415
1826	0.342300534
1830	0.318831235
1836	0.290954828
1840	0.276342958
1841	0.271082193
1844	0.299343407
1846	0.264411926
1849	0.288766682
1853	0.31826508
1855	0.413482457
1857	0.305751562
1858	0.31497997
1859	0.316768974
1866	0.34051314
1868	0.324985176
1869	0.43592301
1875	0.278051615
1876	0.332472593
1877	0.269143969
1879	0.361832559
1881	0.26916948
1893	0.270266145
1902	0.319863856
1906	0.256030768
1911	0.278534651
1912	0.312781692
1917	0.318314761
1918	0.274827868
1919	0.335390896
1923	0.310953826
1924	0.378727615
1930	0.291495383
1934	0.304209352
1935	0.256388813
1936	0.317620605
1938	0.327112556
1939	0.26883921
1944	0.313690543
1947	0.356748044
1949	0.300092727
1952	0.341089904
1955	0.378154099
1958	0.272186249
1960	0.234970614
1966	0.278481603
1967	0.284237742
1969	0.38179934
1971	0.280936033
1980	0.28726548
1981	0.246733025
1982	0.302382886
1983	0.292639405
1997	0.300552279
2001	0.310195893
2005	0.310187548
2006	0.270031393
2009	0.271975905
2010	0.327835381
2013	0.312081963
2015	0.303131074
2017	0.305645585
2022	0.290511012
2025	0.230498508
2027	0.264872342
2028	0.264844388
2030	0.320068032
2033	0.37275061
2036	0.259662926
2038	0.285466909
2041	0.265514225
2044	0.312847108
2045	0.329804271
2048	0.282054573
2051	0.429922491
2059	0.290125489
2060	0.288654923
2062	0.28427586
2067	0.261188895
2072	0.322311491
2073	0.250820875
2074	0.279579818
2076	0.405171186
2077	0.348626912
2079	0.331486553
2081	0.298819035
2084	0.296618968
2085	0.258113682
2089	0.304158449
2094	0.278726101
2096	0.366873652
2102	0.284371912
2103	0.293135464
2104	0.222508952
2105	0.270325243
2106	0.287227184
2109	0.240381286
2111	0.255003452
2114	0.349302918
2115	0.310807794
2118	0.324359387
2120	0.244492486
2122	0.274469703
2123	0.332848459
2124	0.314068079
2128	0.299373418
2132	0.325152218
2133	0.263726801
2134	0.347400665
2138	0.277701586
2139	0.326630592
2141	0.374480069
2142	0.42676267
2144	0.305743247
2145	0.367897809
2146	0.318932295
2148	0.335868537
2149	0.294815719
2151	0.360518098
2154	0.447180539
